sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;329,10;329,30;329,20;331,60;328,50;329,30;329,927;1163078;383730971,9;4348;
2017-09-22;329,60;329,70;329,80;330,70;327,70;329,60;329,209;1351433;444904404,75;5097;
2017-09-21;329,70;329,80;328,30;329,80;326,00;329,70;328,307;1466483;481452512,15;5717;
2017-09-20;327,10;327,30;328,80;330,20;327,10;327,40;328,086;1271715;417261846,5;4096;
2017-09-19;329,00;329,10;328,00;330,70;326,90;328,90;328,778;1162949;382351904,1;3921;
2017-09-18;328,10;328,30;327,10;328,70;326,00;328,70;327,55;1013810;331745378,95;3871;
2017-09-15;325,10;325,30;326,30;328,90;324,90;325,10;326,085;1835649;598577806,8;5764;
2017-09-14;327,30;327,50;324,20;327,60;323,50;327,60;326,227;1689397;551127751,8;5447;
2017-09-13;324,90;325,10;324,60;325,80;323,10;324,80;324,574;1317636;427663396,85;4393;
2017-09-12;325,00;325,20;324,00;325,90;321,60;324,90;324,592;1483790;481626073;5202;
2017-09-11;322,70;322,90;318,00;323,30;318,00;322,80;321,772;1443996;464637606,15;5608;
2017-09-08;316,60;316,70;317,60;319,00;314,80;316,60;316,724;1893721;599787429,35;6648;
2017-09-07;317,70;318,00;314,60;317,90;313,00;317,80;315,737;2391992;755297850,55;8162;
2017-09-06;312,50;312,70;313,30;315,20;311,90;313,10;313,279;1693920;530653932,8;6651;
2017-09-05;314,30;314,50;315,60;317,30;313,60;314,80;315,409;2024790;638622512,6;6293;
2017-09-04;314,90;315,10;311,90;316,20;311,00;315,00;314,071;1677552;526869748,45;6134;
2017-09-01;313,90;314,00;313,60;314,40;311,70;314,00;313,471;2414384;756839829,2;8550;
2017-08-31;311,40;311,50;306,50;313,00;305,50;311,40;310,398;2845203;882160452,25;8606;
2017-08-30;305,00;305,10;306,50;307,00;302,80;305,10;304,568;1387134;422477112,1;4793;
2017-08-29;303,90;304,00;305,20;306,00;303,30;303,30;304,267;1955171;594954299,45;7066;
2017-08-28;307,10;307,30;308,90;308,90;305,90;307,10;307,465;1594790;490299090,35;5533;
2017-08-25;310,10;310,20;305,50;314,40;305,40;310,00;310,651;3477284;1080215755,5;12150;
2017-08-24;305,50;305,70;306,30;306,80;304,50;304,70;305,555;2020594;617402432,5;7302;
2017-08-23;305,10;305,30;301,80;308,00;301,50;305,30;305,25;3946500;1204669465,75;14657;
2017-08-22;300,20;300,30;293,80;300,80;292,40;300,20;297,159;2550832;757408595;9150;
2017-08-21;291,90;292,00;292,90;293,70;290,20;291,90;291,931;1791879;523184345,05;5544;
2017-08-18;293,80;293,90;293,40;294,80;292,30;294,00;293,697;1646326;483521511,12;6057;
2017-08-17;295,70;295,90;296,10;299,90;294,70;295,80;296,814;2962356;879378269,4;10549;
2017-08-16;294,90;295,10;293,30;296,30;293,20;294,30;294,956;1781415;525451759,6;5786;
2017-08-15;292,30;292,40;295,70;296,50;290,90;292,40;292,974;1379870;404265039,25;5608;
2017-08-14;295,40;295,60;295,60;297,70;293,20;294,60;295,281;1575536;465225011,55;5885;
2017-08-11;293,50;293,70;294,60;295,10;290,90;293,30;293,572;1468051;430912837,4;6147;
2017-08-10;296,20;296,30;299,00;299,90;296,00;296,00;297,658;1384486;412103123,7;6075;
2017-08-09;298,70;298,90;298,90;300,20;296,50;299,00;298,493;1624826;484998433,1;7025;
2017-08-08;301,00;301,10;297,30;301,10;295,80;300,70;299,629;1703332;510367115,4;6749;
2017-08-07;297,90;298,00;298,20;300,00;295,80;298,20;297,802;1738843;517842919,65;7541;
2017-08-04;298,00;298,20;293,70;299,50;291,90;297,90;296,781;2507039;744040571,8;9742;
2017-08-03;293,10;293,30;291,20;294,40;289,40;292,80;292,606;1690932;494776653,3;7632;
2017-08-02;291,90;292,10;296,40;297,40;291,20;291,80;292,727;1976247;578500535,1;8399;
2017-08-01;295,90;296,20;294,00;297,80;292,80;296,00;295,771;2197136;649825796,35;8976;
2017-07-31;292,70;292,90;296,00;297,40;292,60;292,60;294,096;1668774;490780210,9;5944;
2017-07-28;296,20;296,40;297,90;298,30;294,50;296,40;296,294;1973064;584608745,3;7575;
2017-07-27;298,40;298,50;304,20;306,30;297,70;298,40;300,512;2690688;808582052,9;10424;
2017-07-26;304,90;305,00;302,80;305,20;301,50;304,80;303,682;1533316;465640797;5655;
2017-07-25;303,00;303,10;301,10;306,00;301,00;302,90;303,059;2311065;700336316,9;8911;
