sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-26;303,20;303,50;300,60;304,30;300,60;303,40;302,849;655717;198575074,6;4243;
2017-09-25;301,00;301,20;300,50;302,80;300,50;301,50;301,66;676498;204072782,45;4659;
2017-09-22;301,00;301,30;301,00;302,30;299,40;301,20;300,814;583131;175411350,75;3871;
2017-09-21;301,20;301,40;301,40;301,40;299,10;301,20;300,421;628888;188935429,35;3168;
2017-09-20;299,90;300,00;301,80;302,90;299,60;300,00;300,797;528235;158882913,35;2778;
2017-09-19;301,70;301,80;300,20;302,90;299,50;301,70;301,421;594595;179225648,45;3805;
2017-09-18;300,00;300,20;298,50;300,70;298,00;300,70;299,297;446835;133735451,1;3110;
2017-09-15;296,70;297,00;300,70;301,50;296,70;296,70;298,407;899599;268446711,25;4414;
2017-09-14;300,20;300,40;296,30;300,50;295,30;300,50;298,594;757176;226087850,4;4577;
2017-09-13;296,10;296,40;297,60;297,70;295,40;296,30;296,267;488167;144627520,2;2952;
2017-09-12;297,40;297,50;297,30;298,00;294,20;297,50;296,783;837554;248571680,1;4255;
2017-09-11;294,40;294,70;291,50;295,10;291,30;295,00;293,938;650756;191233511,9;3373;
2017-09-08;289,60;289,80;288,70;290,30;287,20;290,30;289,223;596581;172544369,5;3469;
2017-09-07;289,30;289,60;287,80;290,20;286,20;289,80;288,397;655364;189020644,1;3911;
2017-09-06;285,50;285,70;284,50;287,10;283,30;286,10;285,72;875408;250121139,7;5464;
2017-09-05;285,30;285,60;285,80;288,20;284,70;286,30;286,451;620971;177867668,8;3645;
2017-09-04;286,20;286,40;281,40;286,90;281,10;286,30;285,098;611912;174443481,1;3043;
2017-09-01;284,70;284,90;285,40;287,40;284,10;284,80;286,10;1734833;496141509,3;6764;
2017-08-31;283,10;283,40;278,40;284,20;277,90;283,60;282,562;1320057;373003602,1;6727;
2017-08-30;277,00;277,20;279,00;279,80;275,70;276,80;276,615;682558;188806580,4;4067;
2017-08-29;276,60;276,80;276,80;278,50;275,90;276,30;276,913;592171;163979740,3;3249;
2017-08-28;279,40;279,60;282,00;282,20;279,00;279,90;280,513;612647;171855401,1;3602;
2017-08-25;283,80;284,00;278,00;287,70;277,90;284,20;283,663;1817129;515424749,55;8776;
2017-08-24;277,90;278,00;277,30;279,20;276,30;277,30;277,77;970280;269517726,95;5706;
2017-08-23;276,40;276,70;274,00;279,50;273,80;277,00;277,39;1129712;313369837,45;8432;
2017-08-22;272,80;273,00;265,80;273,50;265,80;273,10;269,737;681179;183736428,5;5138;
2017-08-21;264,90;265,10;265,90;266,30;263,60;264,70;264,91;642322;170171684,3;3622;
2017-08-18;266,90;267,20;265,00;267,80;264,80;267,00;266,531;773106;206056631,25;4505;
2017-08-17;268,60;268,80;270,00;271,60;267,50;268,50;269,388;711493;191667574,3;4991;
2017-08-16;268,10;268,40;264,80;268,30;264,80;268,00;267,611;954062;255317892,85;5000;
2017-08-15;264,80;264,90;266,10;267,30;262,40;264,20;264,606;749338;198279124,6;4073;
2017-08-14;266,50;266,70;265,80;268,70;265,40;266,10;266,948;389512;103979556,5;2774;
2017-08-11;265,30;265,60;266,10;266,90;262,70;264,90;265,239;585953;155415477,75;3754;
2017-08-10;268,00;268,20;269,70;270,90;267,70;267,70;269,005;461606;124174430,9;2881;
2017-08-09;270,00;270,30;271,00;271,50;268,30;270,20;269,999;845536;228293754,6;5154;
2017-08-08;272,60;272,70;269,50;273,00;267,80;273,00;271,10;1066164;289036721,5;5661;
2017-08-07;269,50;269,60;269,60;270,80;268,00;269,50;269,389;673199;181351604,6;4226;
2017-08-04;269,20;269,40;264,50;270,80;262,70;269,30;267,727;1195042;319944549,4;6933;
2017-08-03;264,40;264,60;262,20;265,30;260,40;264,00;263,958;1053420;278052505,45;5165;
2017-08-02;262,60;262,80;265,50;266,50;262,10;262,60;263,016;798785;210093977,9;4727;
2017-08-01;265,50;265,70;261,00;267,70;260,50;265,80;265,512;745948;198057901,4;3629;
2017-07-31;262,60;262,80;265,20;266,90;261,60;261,60;263,21;696611;183355100,7;2934;
2017-07-28;265,50;265,70;267,00;267,10;263,70;265,90;265,435;589197;156393239,4;3689;
2017-07-27;267,60;267,80;271,10;273,60;266,60;267,50;268,857;750280;201717625,1;4186;
2017-07-26;272,00;272,10;268,70;272,40;268,50;272,40;270,546;547626;148158004,5;3238;
2017-07-25;269,80;270,00;269,10;272,50;268,50;269,80;270,154;616484;166545482,6;4128;
2017-07-24;269,40;269,60;273,30;273,50;269,10;269,10;270,781;511928;138620360,5;3128;
2017-07-21;273,30;273,50;274,60;276,80;272,50;273,50;274,193;954375;261693551,1;5591;
2017-07-20;276,00;276,20;279,00;282,00;275,40;276,00;277,661;819216;227468016,3;5626;
2017-07-19;277,80;278,10;275,20;278,90;271,20;277,50;275,258;1209519;332928484,45;7365;
2017-07-18;274,30;274,40;277,00;277,00;272,20;274,10;273,771;1525937;417763302,1;9944;
2017-07-17;276,00;276,20;298,80;299,20;270,10;276,50;277,835;3058162;849612054,35;18189;
2017-07-14;296,90;297,00;297,80;298,10;295,20;297,30;297,128;576055;171156493,9;3570;
2017-07-13;296,00;296,30;300,40;300,70;296,10;296,30;298,121;422160;125868821,65;2767;
2017-07-12;299,00;299,20;291,00;299,80;290,80;299,70;297,116;625111;185732783,35;3999;
2017-07-11;289,70;289,90;293,00;293,90;289,30;289,30;290,594;443698;128935766,15;2869;
2017-07-10;292,70;292,80;290,30;293,20;288,80;292,70;291,472;474387;138270719,2;3077;
2017-07-07;288,10;288,20;290,00;290,50;287,90;288,70;288,82;434569;125512025,05;2698;
2017-07-06;289,50;289,70;290,00;290,60;286,20;289,70;288,718;732698;211541109,54;4301;
2017-07-05;290,70;290,90;288,50;291,60;287,40;291,10;290,207;584772;169704953,8;3553;
2017-07-04;289,40;289,60;291,20;292,10;289,10;289,20;289,852;866812;251246843,35;4074;
2017-07-03;293,10;293,30;292,50;293,70;291,40;292,70;292,701;647017;189382623,55;3232;
2017-06-30;291,30;291,50;292,50;294,40;290,60;291,10;291,909;739707;215927033,65;3381;
2017-06-29;291,80;292,10;300,90;301,80;291,00;292,10;294,497;1150698;338876810,6;6792;
2017-06-28;299,40;299,60;302,20;302,30;297,10;300,30;299,219;956545;286216209,2;6087;
2017-06-27;301,50;301,70;305,20;305,40;301,40;301,90;303,101;1012022;306748002,54;5267;
2017-06-26;306,10;306,40;306,70;309,30;305,00;305,80;306,677;1108640;339997400,05;6608;
2017-06-22;306,20;306,40;305,20;306,90;302,90;306,50;305,314;707102;215888312,35;4806;
2017-06-21;305,00;305,10;303,00;305,80;299,70;305,30;303,538;1833452;556520862,45;8645;
2017-06-20;303,50;303,70;303,00;304,40;301,60;303,50;303,216;902671;273707291,8;5326;
2017-06-19;302,40;302,60;298,50;303,10;298,50;302,00;301,413;1155795;348408183,9;6379;
2017-06-16;295,60;295,80;294,20;296,90;293,00;296,90;295,73;1529321;452262143,05;7044;
2017-06-15;288,60;288,70;290,10;290,10;287,00;288,80;288,099;933274;268875133,1;5385;
2017-06-14;290,50;290,70;292,00;293,90;290,10;290,10;291,87;748976;218603498,9;4480;
2017-06-13;291,80;292,10;291,10;293,50;290,90;292,00;292,148;573537;167557058,35;3350;
2017-06-12;290,50;290,70;293,90;293,90;289,20;290,50;291,494;1672555;487419951,72;8412;
2017-06-09;296,30;296,50;291,00;296,90;291,00;296,30;295,198;751248;221768063,2;4942;
2017-06-08;289,50;289,80;287,00;290,70;286,70;290,50;289,212;1001778;289725596,9;5963;
2017-06-07;286,90;287,10;282,10;289,10;281,60;287,00;286,281;1050499;300735880,65;5737;
2017-06-05;282,70;282,90;287,10;287,60;282,10;282,10;283,673;728421;206630226,2;4135;
2017-06-02;285,80;286,00;286,20;288,10;285,30;286,80;286,59;633974;181610675,3;3648;
2017-06-01;283,50;283,70;287,10;288,90;282,80;283,50;285,532;907572;259140316,7;6360;
2017-05-31;286,40;286,70;282,00;288,50;281,20;287,10;286,122;1516047;433329875,1;7015;
2017-05-30;282,80;282,90;278,50;283,80;277,70;283,00;282,015;1008763;284485916,1;5781;
2017-05-29;279,80;280,00;281,50;282,40;279,30;280,10;280,777;496199;139321455,3;3719;
2017-05-26;281,50;281,70;280,00;281,90;279,40;281,90;280,907;774947;217688155,65;5311;
2017-05-24;280,00;280,20;282,00;282,00;279,20;279,60;280,093;515612;144419264,6;2810;
2017-05-23;281,30;281,40;278,20;281,60;278,20;281,60;280,586;663984;186304440,8;4281;
2017-05-22;279,00;279,20;282,50;282,80;278,70;279,00;280,39;1031264;289577725,2;5023;
2017-05-19;282,20;282,40;279,50;283,20;279,50;281,80;281,665;722004;203363214,6;4720;
