sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;287,30;292,10;285,20;293,30;285,20;292,20;288,649;442;127583;11;
2017-09-22;291,50;292,30;289,90;292,80;287,90;291,50;289,449;618;178879,7;25;
2017-09-21;290,00;290,70;286,70;290,80;286,70;290,70;289,878;9;2608,9;4;
2017-09-20;287,20;290,50;289,90;290,50;286,70;290,50;287,763;1075;309345,6;22;
2017-09-19;288,40;289,80;288,50;291,30;288,00;289,90;288,434;893;257571,4;10;
2017-09-18;287,20;290,90;293,50;297,50;288,00;290,90;291,093;721;209878,2;27;
2017-09-15;293,00;295,60;297,30;297,30;293,00;293,00;294,124;1292;380008,3;24;
2017-09-14;292,60;294,50;290,40;294,80;288,00;294,80;293,142;633;185558,9;28;
2017-09-13;293,00;294,50;290,70;295,50;290,70;293,00;292,836;1100;322119,6;24;
2017-09-12;291,40;293,50;292,50;293,50;290,70;293,50;293,074;272;79716;5;
2017-09-11;288,50;294,00;289,00;294,00;289,00;292,00;291,072;555;161545;13;
2017-09-08;285,70;289,40;289,50;289,50;289,40;289,40;289,495;21;6079,4;3;
2017-09-07;286,60;289,60;287,50;289,60;285,50;289,60;287,865;422;121478,9;13;
2017-09-06;287,40;291,70;296,30;296,30;286,40;289,60;289,094;2050;592643,3;29;
2017-09-05;290,20;296,20;293,00;296,30;293,00;296,10;294,638;1550;456689,5;34;
2017-09-04;295,00;299,40;299,10;299,50;298,80;298,90;298,966;2177;650849,7;19;
2017-09-01;301,50;302,90;295,40;303,00;295,40;303,00;300,026;132;39603,4;19;
2017-08-31;296,40;298,40;298,50;300,40;297,00;298,40;297,412;780;231981;14;
2017-08-30;298,40;299,50;291,80;298,50;291,80;298,50;296,917;218;64728;17;
2017-08-29;288,80;290,00;290,00;290,80;285,00;290,00;288,088;1451;418015,5;39;
2017-08-28;288,50;290,00;289,90;290,00;287,90;290,00;289,376;346;100124;16;
2017-08-25;291,60;293,90;292,00;292,20;292,00;292,20;292,029;41;11973,2;6;
2017-08-24;293,00;294,60;293,00;294,50;291,50;294,50;292,949;340;99602,5;11;
2017-08-23;291,40;292,90;292,40;292,50;286,00;291,40;289,176;216;62462;18;
2017-08-22;291,40;296,40;296,50;296,50;296,40;296,40;296,406;84;24898,1;4;
2017-08-21;290,70;296,50;293,00;299,50;292,30;292,80;292,908;496;145282,3;17;
2017-08-18;295,50;299,70;299,50;299,50;291,70;296,80;294,783;975;287413,6;21;
2017-08-17;299,50;301,00;295,70;300,50;295,70;299,50;299,881;464;139144,9;21;
2017-08-16;295,70;299,50;299,50;300,40;299,50;300,40;299,95;2;599,9;2;
2017-08-15;291,80;299,40;300,00;302,50;291,80;293,30;299,596;589;176462;18;
2017-08-14;298,50;300,00;296,00;299,50;290,60;299,50;295,353;523;154469,7;29;
2017-08-11;294,50;297,20;292,70;297,20;289,90;297,20;291,298;92;26799,4;8;
2017-08-10;297,40;299,00;297,20;299,00;294,70;299,00;297,053;222;65945,8;5;
2017-08-09;297,20;300,00;303,50;303,50;301,40;301,40;301,591;33;9952,5;2;
2017-08-08;302,00;304,00;297,90;303,50;294,20;303,50;298,334;609;181685,3;19;
2017-08-07;295,00;299,00;300,00;300,40;293,50;298,50;296,478;749;222062;55;
2017-08-04;298,10;303,20;296,30;304,50;296,30;298,90;297,545;143;42548,9;18;
2017-08-03;294,50;296,20;296,70;296,70;291,20;296,30;296,489;107;31724,3;7;
2017-08-02;293,00;296,80;295,50;296,80;289,50;296,80;292,971;426;124805,5;11;
2017-08-01;295,50;296,20;293,50;296,20;284,40;296,20;295,601;199;58824,6;16;
2017-07-31;287,00;293,50;281,90;292,80;281,90;292,80;285,726;962;274868,3;44;
2017-07-28;277,90;280,00;281,20;281,20;277,60;278,90;279,219;2743;765897,4;36;
2017-07-27;283,50;284,30;292,20;292,20;281,00;284,30;283,04;67;18963,7;13;
2017-07-26;286,70;292,30;287,00;292,70;285,00;287,10;286,496;157;44979,9;18;
2017-07-25;287,00;290,00;293,90;293,90;287,00;287,00;289,531;119;34454,2;12;
2017-07-24;291,60;294,70;295,50;295,50;291,00;294,70;292,017;99;28909,7;16;
2017-07-21;295,00;300,70;303,10;303,10;296,20;296,20;300,643;152;45697,7;11;
2017-07-20;298,40;304,20;301,80;301,80;297,10;297,10;299,715;127;38063,8;16;
2017-07-19;300,40;307,10;302,20;316,70;297,40;301,80;310,708;2809;872779,8;84;
2017-07-18;294,70;295,00;301,40;301,40;295,00;295,00;295,721;433;128047,2;11;
2017-07-17;295,50;302,40;293,20;302,50;293,20;302,50;300,17;162;48627,5;16;
2017-07-14;295,80;298,00;290,20;299,50;290,10;298,00;294,448;1863;548556,5;36;
2017-07-13;290,20;294,90;295,30;296,10;294,90;294,90;295,978;1036;306633,2;9;
2017-07-12;290,20;293,10;291,00;295,70;287,70;294,90;293,628;455;133600,5;23;
2017-07-11;287,70;293,70;296,30;296,30;287,70;287,70;290,427;263;76382,4;18;
2017-07-10;290,10;296,20;292,50;296,30;289,80;296,30;292,658;306;89553,4;18;
2017-07-07;287,00;292,50;281,20;291,70;281,20;289,30;289,309;1363;394327,5;37;
2017-07-06;281,80;288,50;281,70;287,60;281,70;287,50;284,425;1131;321685;36;
2017-07-05;284,80;285,90;285,00;287,00;283,70;284,90;284,912;3737;1064715,8;39;
2017-07-04;282,20;284,70;286,00;286,00;282,00;284,60;282,954;1880;531953,4;29;
2017-07-03;284,20;292,90;295,00;295,00;288,70;288,70;292,338;710;207560;8;
2017-06-30;283,70;297,50;299,40;300,90;281,20;296,50;297,418;230;68406,2;27;
2017-06-29;299,30;300,30;310,80;310,80;299,10;299,30;302,156;411;124186;26;
2017-06-28;303,00;309,90;305,00;311,50;300,10;310,80;307,751;208;64012,3;14;
2017-06-27;300,20;305,40;306,90;306,90;306,90;306,90;306,90;20;6138;1;
2017-06-26;298,20;306,90;314,50;314,50;298,10;306,90;304,709;645;196537,1;59;
2017-06-22;298,10;306,90;301,10;308,00;300,00;308,00;307,671;136;41843,3;3;
2017-06-21;303,50;306,40;304,50;309,90;295,80;303,10;306,898;679;208383,9;25;
2017-06-20;300,00;304,50;295,90;315,00;295,90;305,00;298,859;6531;1951846,7;76;
2017-06-19;290,80;295,90;292,00;296,00;290,70;295,90;293,444;603;176947;26;
2017-06-16;285,70;291,00;287,00;290,50;287,00;289,90;289,654;306;88634,1;8;
2017-06-15;285,20;287,00;293,50;293,90;285,90;287,00;286,393;750;214794,8;16;
2017-06-14;288,10;294,40;290,60;294,80;288,10;291,10;293,052;1997;585224,8;20;
2017-06-13;287,20;292,40;291,70;292,80;287,50;288,00;290,033;391;113403;18;
2017-06-12;291,00;292,80;297,00;297,00;285,40;291,20;292,347;1396;408116,9;38;
2017-06-09;293,20;297,50;292,00;296,50;292,00;295,20;294,00;1945;571830,1;30;
2017-06-08;291,00;294,50;292,80;297,50;290,90;292,10;292,726;1782;521637,8;46;
2017-06-07;292,70;298,30;290,90;299,50;290,90;298,30;294,934;1372;404648,7;35;
2017-06-05;290,00;293,80;294,00;294,00;290,00;290,10;290,538;638;185363;25;
2017-06-02;291,70;296,60;296,80;296,80;294,00;294,00;294,491;243;71561,4;6;
2017-06-01;292,60;296,80;291,00;296,80;291,00;296,80;294,243;582;171249,2;12;
2017-05-31;289,70;293,50;290,20;291,00;290,20;291,00;290,543;7;2033,8;2;
2017-05-30;291,20;293,50;289,50;293,40;286,20;289,70;289,661;249;72125,6;15;
2017-05-29;286,10;289,80;290,00;290,00;285,00;289,70;285,541;145;41403,5;19;
2017-05-26;289,20;292,30;292,80;292,80;289,00;290,80;289,445;770;222872,5;15;
2017-05-24;288,30;292,80;;;;292,70;;;;0;
2017-05-23;288,70;292,70;292,50;292,70;287,60;292,70;291,496;145;42266,9;11;
2017-05-22;290,20;292,70;289,70;293,30;289,60;292,60;290,561;305;88621,2;22;
2017-05-19;286,60;289,80;286,10;289,90;286,10;289,70;286,781;1122;321768,7;26;
2017-05-18;285,30;288,80;314,50;314,50;285,00;286,10;290,236;7963;2311137,9;154;
2017-05-17;299,40;314,40;300,40;319,90;296,20;314,40;307,546;645;198367,3;29;
2017-05-16;300,40;308,80;309,00;309,00;308,50;308,90;308,577;614;189466,1;11;
2017-05-15;305,50;310,00;299,50;309,50;299,50;309,50;301,858;1451;437996,6;33;
2017-05-12;292,10;299,90;298,70;299,90;290,80;299,90;298,025;851;253619,6;30;
2017-05-11;295,50;298,80;292,00;300,50;289,80;298,60;293,572;616;180840,2;36;
2017-05-10;291,50;292,50;289,70;292,10;286,90;292,00;290,961;326;94853,4;15;
2017-05-09;291,50;293,00;290,00;293,00;286,20;292,90;292,136;1432;418338;42;
2017-05-08;287,30;290,30;291,40;291,40;280,50;289,30;286,92;1310;375864,9;37;
2017-05-05;287,30;291,80;291,20;293,00;287,20;291,70;291,257;575;167472,9;29;
2017-05-04;292,00;292,50;280,70;292,90;279,20;292,90;286,094;2017;577052;56;
2017-05-03;277,10;280,70;275,40;280,80;275,20;280,60;280,25;490;137322,6;15;
2017-05-02;276,20;279,50;281,20;283,20;275,40;275,40;280,151;1550;434234,7;30;
2017-04-28;280,20;285,00;278,00;292,60;278,00;279,40;283,70;2934;832376,1;108;
2017-04-27;274,20;276,00;277,70;277,70;275,90;275,90;276,516;56;15484,9;6;
2017-04-26;274,70;277,70;275,00;279,10;274,50;277,80;277,201;1048;290506,2;30;
2017-04-25;275,20;279,00;279,00;279,00;275,10;279,00;276,072;256;70674,4;14;
2017-04-24;277,20;279,10;280,50;280,50;275,20;279,10;278,927;344;95950,8;28;
2017-04-21;276,20;279,10;268,30;279,80;268,30;278,90;271,814;472;128296,1;29;
2017-04-20;275,20;281,60;276,50;282,80;275,20;278,40;278,852;532;148349,5;23;
2017-04-19;269,70;274,80;271,30;277,40;266,70;274,80;272,111;379;103129,9;39;
2017-04-18;272,00;275,80;273,00;278,20;271,40;271,40;272,97;2046;558497,3;32;
