sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;23,15;23,20;23,88;23,88;22,95;23,14;23,285;7988341;186014417,09;6225;
2017-09-22;23,81;23,86;22,95;23,98;22,95;23,88;23,55;11881459;279809427,56;8041;
2017-09-21;22,93;22,96;22,83;23,03;22,00;22,89;22,594;20206476;456505216,65;14141;
2017-09-20;23,52;23,55;22,20;23,72;22,02;23,55;22,971;18984607;436110535,53;13135;
2017-09-19;22,81;22,82;25,00;25,11;22,31;22,74;23,232;44039965;1023136488,12;34368;
2017-09-18;26,15;26,17;26,53;27,69;25,71;26,10;26,496;45016093;1193897930,25;37266;
2017-09-15;33,50;33,52;33,10;33,69;32,85;33,52;33,346;7502866;250185019,01;9266;
2017-09-14;33,10;33,12;32,37;33,11;32,35;33,11;32,919;4680387;154073066,09;5144;
2017-09-13;32,36;32,39;31,70;32,79;31,30;32,42;32,063;11465869;367826409,16;11529;
2017-09-12;32,66;32,70;33,07;33,30;32,43;32,58;32,791;5343868;175229325,78;6018;
2017-09-11;33,17;33,19;33,00;33,29;32,13;33,14;32,711;6274494;205251175,64;8061;
2017-09-08;32,87;32,90;33,45;33,68;32,31;32,89;32,931;8156802;268609597,32;9681;
2017-09-07;33,22;33,24;32,57;33,44;32,42;33,25;33,017;8935637;295047386,84;10946;
2017-09-06;32,67;32,71;33,50;33,50;31,80;32,57;32,487;22401563;727761166,06;22131;
2017-09-05;34,87;34,90;35,03;35,74;34,75;34,93;35,204;5933413;208882088,89;4981;
2017-09-04;35,07;35,12;35,50;35,59;34,80;35,03;35,10;5111571;179413882,45;5033;
2017-09-01;36,02;36,04;36,53;37,06;35,79;36,08;36,562;7292050;266612678,66;7723;
2017-08-31;36,33;36,37;35,70;36,47;35,48;36,33;36,014;7750034;279143090,67;7024;
2017-08-30;35,21;35,23;34,87;35,49;34,42;35,35;35,002;7552584;264353097,29;7565;
2017-08-29;34,60;34,66;34,99;34,99;33,76;34,59;34,284;7294113;250068535,35;7389;
2017-08-28;35,05;35,11;35,40;35,40;34,43;35,11;34,826;6164057;214667444,03;6712;
2017-08-25;35,45;35,49;36,41;37,30;35,36;35,40;36,384;8417682;306302205,78;9765;
2017-08-24;36,33;36,39;36,10;36,45;35,59;36,34;36,201;4483333;162300455,42;5316;
2017-08-23;35,95;36,00;35,72;36,24;34,53;35,95;35,459;10813131;383428189,93;12947;
2017-08-22;35,75;35,78;33,90;36,10;33,65;35,96;34,863;14373102;501083462,61;13251;
2017-08-21;33,65;33,68;34,28;34,87;33,50;33,59;33,933;6492580;220292197,86;5856;
2017-08-18;34,24;34,26;34,97;35,03;34,10;34,32;34,483;7534849;259847911,57;5496;
2017-08-17;35,20;35,22;36,00;36,00;34,75;35,11;35,27;13527232;477092374,7;12858;
2017-08-16;35,73;35,74;37,30;37,70;35,36;35,63;36,13;16686789;602893283,15;17342;
2017-08-15;37,29;37,31;37,90;38,07;37,02;37,14;37,445;7242704;271207636,6;8649;
2017-08-14;37,41;37,45;36,74;37,55;36,32;37,55;36,99;10037294;371292274,54;8962;
2017-08-11;36,12;36,13;37,80;38,27;36,01;36,05;36,992;17084225;632285003,91;17497;
2017-08-10;37,94;38,00;37,75;38,80;37,50;38,09;38,343;13453306;515842999,93;13182;
2017-08-09;37,85;37,90;39,20;39,34;37,84;37,84;38,495;12171548;468541577,24;14632;
2017-08-08;39,60;39,62;41,35;41,87;39,05;39,44;40,229;21212832;853378704,43;16996;
2017-08-07;40,93;40,95;39,78;41,14;39,75;40,95;40,66;15960473;648898217,71;15278;
2017-08-04;39,34;39,38;37,81;39,57;37,60;39,40;39,052;16182195;631951235,97;14449;
2017-08-03;38,06;38,09;39,01;39,34;37,50;38,11;38,208;15911319;607941603,13;13623;
2017-08-02;38,92;38,95;39,75;40,42;38,81;38,81;39,469;14290827;564047982,08;13412;
2017-08-01;39,19;39,20;38,00;39,67;37,14;39,18;38,784;22257694;863213044,7;20295;
2017-07-31;37,61;37,68;36,30;37,80;36,29;37,80;37,249;15359138;572087870,37;14499;
2017-07-28;36,37;36,42;36,90;36,94;35,84;36,32;36,439;9725072;354351845,96;13621;
2017-07-27;36,21;36,25;35,14;36,90;35,05;36,29;36,182;15847880;573401060,78;15833;
2017-07-26;34,78;34,83;34,75;35,04;34,12;34,79;34,597;9108822;315133884,71;11901;
2017-07-25;34,81;34,85;36,10;36,40;34,69;34,69;35,379;14061016;496964785,08;14854;
2017-07-24;35,80;35,83;35,00;37,05;34,90;35,80;36,195;21422777;774906492,44;20794;
2017-07-21;34,48;34,50;31,54;36,34;31,54;34,59;34,49;48730747;1680718546,12;50816;
2017-07-20;31,82;31,86;31,45;33,32;31,45;31,85;32,229;12149600;391555014,84;12582;
2017-07-19;31,34;31,36;30,15;31,37;30,00;31,37;30,813;8148722;251094701,98;7804;
2017-07-18;30,19;30,22;30,12;30,26;29,85;30,12;30,074;4918061;147904883,23;7463;
2017-07-17;30,02;30,06;30,07;30,31;29,59;30,00;29,936;6799020;203537766,81;8156;
2017-07-14;30,05;30,08;30,10;30,32;30,01;30,01;30,137;2926449;88192889,09;4734;
2017-07-13;30,08;30,11;30,73;30,79;29,87;30,10;30,219;5743911;173577017,25;5914;
2017-07-12;30,72;30,77;29,88;31,03;29,86;30,73;30,546;5735901;175211151,19;5655;
2017-07-11;29,94;29,98;30,00;30,14;29,60;29,88;29,823;3918323;116845097,37;5490;
2017-07-10;29,91;29,95;30,65;30,69;29,80;29,85;30,104;4062072;122282619,94;7297;
2017-07-07;30,44;30,47;30,20;31,22;30,15;30,42;30,663;6595723;202244227,86;9121;
2017-07-06;30,10;30,12;29,97;30,27;29,60;30,13;29,946;5518876;165262870,49;8561;
2017-07-05;29,72;29,76;29,29;30,10;28,95;29,73;29,583;9296395;275008232,87;14295;
2017-07-04;29,40;29,42;30,28;30,34;29,31;29,31;29,744;6713367;199684005,46;8339;
2017-07-03;30,40;30,42;30,89;31,19;29,56;30,33;30,184;10366810;312918707,35;10846;
2017-06-30;30,87;30,89;32,04;32,17;30,72;30,77;31,27;11974672;374447706,89;14171;
2017-06-29;32,03;32,08;33,00;33,20;32,01;32,03;32,566;8107430;264028225,63;8979;
2017-06-28;32,81;32,85;32,75;33,07;32,50;32,86;32,759;5579892;182789895,53;7978;
2017-06-27;32,96;33,00;33,00;33,87;32,85;32,93;33,202;5865709;194730301,62;6095;
2017-06-26;33,01;33,05;33,25;33,50;32,95;33,01;33,219;3597482;119507911,16;5383;
2017-06-22;33,17;33,20;33,05;33,38;32,99;33,15;33,172;3772842;125151145,14;5260;
