sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;151,10;151,30;152,10;152,80;150,90;151,30;151,585;806377;122234614,6;2751;
2017-09-22;152,00;152,20;153,10;153,20;151,70;152,00;152,05;824346;125337554,75;2672;
2017-09-21;153,40;153,60;153,10;154,50;151,40;153,50;153,165;1699611;260006780,65;3599;
2017-09-20;151,80;152,00;150,90;152,10;150,70;151,80;151,704;1316975;199793615,8;3123;
2017-09-19;151,20;151,40;152,00;152,10;151,00;151,10;151,458;870597;131858446,2;2307;
2017-09-18;151,90;152,00;151,90;152,20;151,00;152,00;151,908;1277849;194162699,3;3006;
2017-09-15;151,50;151,70;151,90;152,10;151,00;151,70;151,613;1465906;222235817,3;3335;
2017-09-14;151,90;152,00;150,60;152,30;150,10;151,90;151,779;1362155;206746184,4;2206;
2017-09-13;150,50;150,70;149,80;150,90;149,30;150,70;150,128;1228221;184389316,6;1872;
2017-09-12;149,90;150,10;150,10;150,50;149,50;150,00;149,966;1544067;231560357,03;2231;
2017-09-11;149,60;149,70;144,60;150,30;144,40;149,50;148,734;1457589;216814550,2;3630;
2017-09-08;144,30;144,40;145,30;146,00;143,80;144,50;144,837;1077814;156106814,6;3343;
2017-09-07;145,10;145,20;142,90;145,80;142,10;145,70;144,369;1744000;251765274,3;4163;
2017-09-06;142,70;142,90;143,60;143,80;142,70;142,90;143,127;1024423;146623344,9;3066;
2017-09-05;144,00;144,20;144,80;145,10;143,90;144,30;144,49;668432;96588655,4;2508;
2017-09-04;144,70;144,80;146,40;146,40;144,10;144,60;144,823;915929;132646694,8;2380;
2017-09-01;147,20;147,30;147,60;148,00;146,60;146,60;147,043;1145503;168438421,5;3807;
2017-08-31;146,30;146,50;143,00;149,10;142,70;147,60;146,395;2598633;380492268,9;7521;
2017-08-30;142,20;142,30;142,00;142,60;140,40;142,20;141,591;679037;96146179,9;3144;
2017-08-29;141,50;141,70;141,10;141,70;139,90;141,40;141,091;646428;91204915,6;2380;
2017-08-28;141,40;141,60;140,20;142,10;139,40;141,70;141,314;372765;52676797,5;1490;
2017-08-25;141,30;141,50;141,00;141,50;140,40;141,00;141,137;490321;69202390;1775;
2017-08-24;140,50;140,70;142,00;142,00;140,20;140,70;140,805;589156;82955882,8;1850;
2017-08-23;141,153;141,35;142,04;143,124;140,561;141,35;141,353;1023918,9452411677;144729396,7;4239;
2017-08-22;141,941;142,139;141,744;142,533;140,857;142,139;141,909;749357,8193859414;106339572,5;3208;
2017-08-21;140,759;140,956;140,66;140,956;139,28;140,956;140,431;877764,5216008051;123434972,7;3289;
2017-08-18;140,463;140,66;141,744;142,04;139,28;140,66;140,566;1051399,81170818;147791804,05;4439;
2017-08-17;142,533;142,631;141,744;143,321;140,956;142,533;142,482;926008,2134190386;131939270,3;3644;
2017-08-16;141,843;141,941;142,533;143,321;141,449;141,646;142,063;662412,8541631158;94104404,2;2446;
2017-08-15;142,139;142,336;143,026;143,42;142,139;142,434;142,822;863067,4117179194;123271716,85;3150;
2017-08-14;142,829;143,026;140,463;143,026;140,463;142,533;142,218;865402,7984060123;123072929,1;2790;
2017-08-11;139,773;139,871;139,773;140,561;138,787;139,773;139,58;705682,4361065796;98498862,2;3036;
2017-08-10;140,266;140,364;142,829;142,829;139,97;139,97;140,95;1196773,0677769391;168685612,2;3855;
2017-08-09;142,336;142,533;141,449;143,716;140,561;142,434;142,504;1398946,3368313408;199351953,4;4951;
2017-08-08;142,237;142,336;138,689;142,631;138,097;141,843;141,317;1282968,315031693;181333928,8;4657;
2017-08-07;138,689;138,787;139,181;139,674;138,393;138,59;138,859;694349,4192982883;96417027,45;2914;
