sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;381,60;381,80;380,70;384,00;379,40;382,00;382,048;53340;20378566,8;963;
2017-09-22;380,10;380,50;379,20;381,10;378,90;380,60;379,921;77869;29584053,45;835;
2017-09-21;379,00;379,40;377,80;380,80;377,80;379,50;379,629;81104;30790482,1;891;
2017-09-20;376,10;376,50;377,00;377,90;375,50;375,90;376,589;63364;23862648,5;919;
2017-09-19;376,70;377,00;374,80;377,80;374,40;377,30;376,29;63559;23916641;840;
2017-09-18;374,80;375,10;373,20;376,20;372,00;374,40;374,49;107561;40280478,3;1364;
2017-09-15;369,10;369,50;373,20;378,20;367,80;367,80;370,851;380497;141108218,5;2685;
2017-09-14;372,90;373,30;373,00;375,90;372,10;373,20;374,28;593445;222974584,2;1122;
2017-09-13;371,60;371,90;373,00;373,70;371,30;371,30;371,941;214012;79599896,6;722;
2017-09-12;372,00;372,40;370,10;373,40;368,90;372,00;371,755;71613;26622513,3;872;
2017-09-11;367,70;368,00;362,10;368,80;362,10;367,10;367,468;83822;30802068,35;1143;
2017-09-08;360,70;361,00;360,10;361,80;359,30;360,00;360,461;73657;26550455,9;753;
2017-09-07;360,80;361,30;360,70;361,70;357,30;359,70;359,891;87526;31499780,1;739;
2017-09-06;359,20;359,50;364,40;364,40;359,20;359,90;360,858;73134;26390980;1069;
2017-09-05;364,80;365,10;366,60;367,60;364,70;364,80;366,193;34703;12707996,5;477;
2017-09-04;366,00;366,20;364,50;366,40;362,80;365,90;364,882;87090;31777692,3;973;
2017-09-01;367,20;367,50;364,40;368,50;364,40;365,20;366,666;72875;26720779,4;797;
2017-08-31;364,40;364,60;361,50;365,80;360,60;363,80;363,757;36811;13390248,6;591;
2017-08-30;360,00;360,40;360,10;361,80;359,90;360,60;360,584;52045;18766579,5;768;
2017-08-29;359,00;359,40;362,90;362,90;357,60;359,50;359,387;69520;24984546,4;1041;
2017-08-28;365,10;365,40;364,80;366,40;363,30;364,50;364,786;42930;15660264;805;
2017-08-25;365,50;366,10;365,10;369,20;362,90;365,30;366,764;165468;60687664,7;1482;
2017-08-24;364,40;364,80;368,40;370,20;364,30;364,40;366,581;49245;18051785,6;711;
2017-08-23;367,90;368,30;369,90;369,90;367,50;368,60;368,035;92000;33859223,1;929;
2017-08-22;369,20;369,60;366,80;370,40;364,10;369,90;366,863;119464;43826950,5;1089;
2017-08-21;365,00;365,40;361,10;366,80;361,10;364,70;364,323;62200;22660942,7;878;
2017-08-18;366,20;366,50;365,00;366,80;362,80;366,30;365,263;83573;30525857,4;1170;
2017-08-17;368,90;369,20;374,30;374,30;367,60;368,90;370,684;172944;64107523,4;1310;
2017-08-16;373,80;374,10;373,20;375,20;372,80;374,30;374,072;79833;29863297,4;748;
2017-08-15;372,20;372,40;376,60;377,70;370,70;372,10;372,269;155218;57782912,8;966;
