sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;280,40;281,40;279,80;282,50;279,70;280,40;281,122;843;236986;68;
2017-09-22;279,80;282,40;282,10;282,90;279,10;279,70;281,845;1800;507320,4;62;
2017-09-21;282,10;282,90;282,20;283,00;282,10;282,10;282,549;993;280571,4;43;
2017-09-20;282,00;282,20;283,00;283,00;278,40;282,20;281,071;1066;299621,4;53;
2017-09-19;278,60;282,90;279,30;283,10;276,60;282,80;279,006;1340;373867,5;62;
2017-09-18;279,30;283,20;284,40;284,40;279,30;279,30;282,08;1136;320442,6;72;
2017-09-15;282,40;282,80;282,20;284,30;282,10;284,30;282,316;2001;564914,3;76;
2017-09-14;280,10;280,70;277,20;282,80;277,20;282,20;280,134;5226;1463982,6;137;
2017-09-13;274,00;274,20;264,00;275,30;264,00;274,20;270,527;4845;1310701,5;166;
2017-09-12;262,10;264,20;257,10;265,30;257,10;262,20;261,283;6162;1610026,5;158;
2017-09-11;257,00;259,00;255,00;262,00;255,00;257,10;258,72;2355;609286,6;71;
2017-09-08;254,30;256,10;252,70;257,20;252,70;254,30;255,226;222;56660,2;24;
2017-09-07;254,50;257,30;252,90;256,50;251,00;254,70;254,575;1334;339603,1;37;
2017-09-06;251,60;252,90;254,00;255,60;250,40;252,90;252,61;3288;830581,2;80;
2017-09-05;252,80;253,90;254,70;255,00;252,30;253,90;254,295;893;227085;57;
2017-09-04;254,70;254,90;258,60;258,60;254,70;254,70;256,181;2114;541566,6;90;
2017-09-01;258,80;262,70;258,00;263,30;258,00;258,80;260,132;2441;634982,5;80;
2017-08-31;255,30;257,30;255,20;257,90;255,00;257,10;255,806;1420;363244,3;55;
2017-08-30;254,10;254,20;254,10;257,10;254,10;254,10;255,082;682;173965,6;56;
2017-08-29;254,10;255,10;260,00;260,00;253,00;254,10;255,065;3457;881759,7;144;
2017-08-28;260,70;262,80;263,40;263,50;260,70;261,20;262,329;1264;331583,5;87;
2017-08-25;263,80;264,40;262,80;264,50;262,80;263,40;263,795;767;202330,4;63;
2017-08-24;262,50;264,10;262,40;264,70;261,50;262,80;263,248;1764;464369,9;60;
2017-08-23;262,20;263,00;265,00;265,00;262,20;262,40;263,112;1465;385459,5;71;
2017-08-22;264,60;265,50;267,50;269,00;264,50;265,50;265,908;2068;549897,1;70;
2017-08-21;266,10;267,90;272,10;273,00;266,20;266,60;269,313;2786;750304,6;83;
2017-08-18;272,60;273,00;276,00;277,00;270,90;273,00;273,681;2616;715950,5;74;
2017-08-17;276,00;277,40;278,20;279,00;276,00;276,00;278,181;1974;549120,8;49;
2017-08-16;278,20;278,80;276,50;279,30;276,20;278,20;277,364;780;216343,6;33;
2017-08-15;276,50;277,30;276,60;278,50;275,80;276,50;276,97;2125;588560,2;79;
2017-08-14;276,30;277,30;275,80;279,30;275,80;276,60;276,645;1741;481638,8;61;
2017-08-11;275,90;277,30;276,00;279,10;272,20;275,90;275,479;2503;689299,45;112;
2017-08-10;276,00;276,90;280,70;280,70;275,00;276,00;276,552;2027;560569,9;95;
2017-08-09;281,00;282,60;283,00;284,20;279,10;281,00;281,196;3975;1117755,8;152;
2017-08-08;283,10;286,30;293,50;294,60;278,90;285,00;287,184;3991;1146149,6;248;
2017-08-07;293,40;294,90;285,10;298,50;285,10;293,50;290,337;9831;2854300,5;279;
2017-08-04;301,00;301,10;305,40;305,40;299,00;301,00;301,778;1810;546217,4;106;
2017-08-03;302,00;305,20;284,00;307,00;284,00;305,40;296,766;4354;1292118,9;283;
2017-08-02;283,40;285,40;285,00;289,30;279,20;283,40;283,285;1417;401415;101;
2017-08-01;280,60;282,40;275,00;284,10;275,00;281,10;279,73;1687;471903,7;128;
2017-07-31;273,10;274,60;270,00;275,00;270,00;274,60;272,509;1893;515859,1;104;
2017-07-28;270,00;271,90;273,70;274,80;270,00;270,10;272,456;1980;539462,5;91;
2017-07-27;272,30;273,20;273,20;273,90;269,20;272,30;271,523;2810;762979;145;
2017-07-26;278,00;279,30;286,40;286,40;276,10;278,50;279,24;1455;406294,1;136;
