sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;67,60;67,65;67,00;67,75;66,70;67,55;67,367;2235470;150596217,95;3192;
2017-09-22;66,80;66,85;66,20;66,95;66,00;66,90;66,747;4662710;311219346,46;3542;
2017-09-21;66,10;66,15;65,35;66,25;65,05;66,25;65,858;3452379;227366210,73;3837;
2017-09-20;65,20;65,25;65,00;65,55;64,85;65,30;65,27;1821153;118866736,85;2331;
2017-09-19;64,85;64,90;64,65;65,35;64,25;64,90;64,89;2549577;165442337,35;3222;
2017-09-18;64,45;64,50;64,95;65,05;64,40;64,60;64,696;2273027;146999804,65;2873;
2017-09-15;64,30;64,40;64,10;64,90;64,05;64,80;64,725;9864033;638447343,31;4887;
2017-09-14;63,95;64,00;64,50;64,55;63,85;64,00;64,056;2786906;178519650,4;3501;
2017-09-13;64,35;64,40;64,75;64,95;64,25;64,45;64,562;2504762;161711093,39;2828;
2017-09-12;64,70;64,75;63,90;64,80;63,70;64,80;64,428;4215117;271571636,28;4656;
2017-09-11;64,90;64,95;64,90;65,20;64,80;64,95;64,988;2835145;184250831,45;3234;
2017-09-08;64,50;64,55;64,55;64,75;64,15;64,55;64,399;2127608;137016259,55;2742;
2017-09-07;64,40;64,45;64,80;64,90;64,25;64,50;64,464;2591208;167037926,35;3006;
2017-09-06;64,35;64,40;64,55;64,85;64,15;64,55;64,569;4729491;305376672,45;4607;
2017-09-05;64,65;64,70;65,50;65,70;64,60;64,70;64,956;4115618;267370343,06;3924;
2017-09-04;65,45;65,50;65,60;65,65;65,10;65,50;65,424;1810641;118466158,22;2828;
2017-09-01;65,80;65,85;66,40;66,60;65,55;65,75;65,82;4876426;320961667,39;5058;
2017-08-31;66,05;66,15;66,00;66,30;65,05;66,25;65,761;5624025;369841205,83;5032;
2017-08-30;65,65;65,70;65,20;66,00;64,90;65,80;65,576;2544943;166888014,55;3351;
2017-08-29;64,90;65,00;64,90;65,15;64,15;65,00;64,772;4795181;310608791,64;6527;
2017-08-28;65,05;65,15;67,15;67,15;64,85;65,15;65,651;3367248;221017424,82;4956;
2017-08-25;67,30;67,40;68,65;68,80;67,25;67,35;67,699;2605230;176370569,18;3926;
2017-08-24;68,45;68,55;68,20;68,75;67,60;68,55;68,302;2932700;200307742,75;3139;
2017-08-23;67,90;68,00;68,05;68,45;67,65;67,95;68,017;2309083;157057927,56;3770;
2017-08-22;68,05;68,10;68,50;68,70;67,70;68,00;68,117;2510449;171005344,33;3982;
2017-08-21;68,25;68,30;68,20;68,75;67,85;68,25;68,383;2460343;168257684,01;3091;
2017-08-18;68,15;68,20;67,85;68,25;67,15;68,20;67,845;2749971;186571886,97;4642;
2017-08-17;68,30;68,40;68,35;68,75;68,30;68,30;68,443;3176048;217379116,28;4444;
2017-08-16;68,35;68,40;68,05;68,45;67,65;68,35;68,115;2237852;152430089,93;3138;
2017-08-15;67,75;67,80;68,00;68,35;67,05;67,85;67,545;3897466;263252961,33;5087;
2017-08-14;68,10;68,15;68,85;69,30;67,75;67,75;68,138;4772764;325208808,5;3667;
2017-08-11;68,75;68,80;68,70;69,65;68,40;68,65;68,966;2220629;153147810,38;4363;
2017-08-10;68,85;68,90;69,90;70,15;68,85;68,95;69,324;2381094;165067251,35;3764;
2017-08-09;69,70;69,75;70,65;70,65;69,40;69,75;69,824;2718713;189830125,4;3603;
2017-08-08;70,60;70,65;69,55;70,90;69,30;70,85;70,438;2487873;175221897,29;3763;
2017-08-07;69,50;69,55;69,45;69,95;69,30;69,55;69,581;1621589;112832366,19;2996;
2017-08-04;69,25;69,30;68,85;69,40;68,10;69,40;68,901;1822736;125588352,3;3046;
2017-08-03;68,50;68,55;68,10;69,00;67,55;68,55;68,482;2748325;188214364,05;4185;
2017-08-02;67,85;67,90;66,70;68,35;66,55;68,00;67,771;3614921;244989057,91;5028;
2017-08-01;66,45;66,50;67,00;67,15;65,85;66,45;66,483;3725228;247662401,1;5320;
2017-07-31;66,75;66,85;66,50;67,50;66,35;66,85;66,926;3192410;213655328,81;4393;
2017-07-28;66,30;66,35;67,20;67,35;66,25;66,25;66,677;2302935;153551596,45;3537;
2017-07-27;67,20;67,25;66,95;67,70;66,85;67,10;67,31;2842844;191353011,38;4255;
2017-07-26;67,00;67,05;65,35;67,05;65,35;66,75;66,405;3258854;216400309,47;4551;
2017-07-25;65,30;65,35;65,00;65,65;64,90;65,35;65,335;3451341;225381062,95;4458;
2017-07-24;65,40;65,45;64,05;65,65;64,05;65,35;64,979;3832325;249005957,73;5169;
2017-07-21;64,15;64,25;63,80;64,85;63,80;64,20;64,364;2916593;187725063,9;4923;
2017-07-20;64,60;64,65;65,20;65,55;64,60;64,70;64,859;3520868;228359223,1;5517;
2017-07-19;65,00;65,05;64,95;65,20;64,80;65,05;64,989;2425037;157599416,38;3301;
2017-07-18;64,75;64,85;64,85;65,15;64,50;64,70;64,817;2386534;154687190,35;3480;
2017-07-17;64,80;64,85;64,85;65,25;64,75;64,85;64,971;2212685;143759534;3136;
2017-07-14;64,75;64,80;64,65;64,85;64,45;64,75;64,671;2372853;153455013,94;2938;
2017-07-13;64,75;64,80;65,00;65,15;64,50;64,65;64,693;1881274;121705278,45;2781;
2017-07-12;64,95;65,00;64,75;65,50;64,75;65,00;65,163;2978260;194070805,2;4002;
2017-07-11;64,65;64,70;64,85;65,10;64,50;64,70;64,715;2312138;149630718,6;3097;
2017-07-10;64,75;64,80;64,65;64,90;64,50;64,80;64,761;2393668;155015414,95;3180;
2017-07-07;64,35;64,40;64,10;64,60;64,10;64,40;64,412;3035931;195551596,35;4321;
2017-07-06;63,85;63,95;64,20;64,40;63,55;64,10;64,038;3124386;200090177,74;4454;
2017-07-05;64,05;64,15;64,15;64,35;63,85;64,20;64,064;2809440;179983080,81;4046;
2017-07-04;64,05;64,10;64,30;64,50;63,90;64,05;64,082;3131288;200654731,52;4333;
2017-07-03;64,60;64,65;63,85;64,80;63,70;64,80;64,509;3236640;208791623;4052;
2017-06-30;63,60;63,65;63,15;63,80;63,00;63,75;63,628;4356311;277182922,41;4616;
2017-06-29;63,40;63,45;64,45;64,80;63,30;63,50;63,843;4326896;276250814,3;6213;
2017-06-28;64,35;64,45;64,25;64,85;64,05;64,45;64,541;4378038;282562850,93;6752;
2017-06-27;64,40;64,45;64,80;64,80;64,05;64,30;64,372;4167209;268252514,04;6147;
2017-06-26;64,70;64,75;64,95;65,35;64,55;64,65;64,984;5379522;349584518,04;6138;
2017-06-22;64,90;64,95;65,50;65,50;64,75;64,75;65,082;5103984;332179164,58;7247;
2017-06-21;64,95;65,00;64,10;65,30;64,10;65,05;64,828;5634775;365280852,85;7563;
2017-06-20;64,50;64,55;65,00;65,10;64,05;64,30;64,519;5840077;376758208,1;7977;
2017-06-19;65,05;65,10;65,05;65,40;64,85;65,00;65,086;5355543;347961611,84;7544;
2017-06-16;64,20;64,25;64,90;65,00;64,15;64,50;64,481;7924441;510990480,97;8361;
2017-06-15;64,35;64,45;63,25;65,05;63,25;64,50;64,423;11203256;721745443,73;15254;
2017-06-14;63,60;63,65;64,15;64,65;63,15;63,60;63,872;17059505;1082592808,09;11954;
