sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;119,00;119,10;119,20;119,70;118,50;119,20;119,156;2934768;349693754,95;3663;
2017-09-22;119,10;119,20;118,70;119,40;117,70;119,40;118,75;3146323;373624256,35;3632;
2017-09-21;119,00;119,10;117,40;119,30;117,00;118,90;118,424;3661934;433486803,25;4341;
2017-09-20;117,00;117,10;117,10;117,30;116,60;117,00;116,972;2538818;296970666,05;2924;
2017-09-19;117,10;117,20;117,10;117,50;116,40;117,00;116,981;2416451;282677720,6;3272;
2017-09-18;117,00;117,20;117,00;117,40;116,80;117,00;117,076;2417688;283140963,85;3105;
2017-09-15;116,40;116,50;118,00;118,00;116,20;116,80;116,832;4058711;474185900,9;4203;
2017-09-14;118,00;118,20;118,20;118,70;117,70;118,10;118,201;2869655;339196820,7;3282;
2017-09-13;118,40;118,50;118,70;118,90;117,80;118,50;118,368;2558222;302811808,5;3571;
2017-09-12;118,50;118,60;117,10;119,00;117,10;118,50;118,156;2813695;332406282;3329;
2017-09-11;116,80;116,90;116,60;117,20;116,20;117,00;116,734;3098048;361646604,85;3742;
2017-09-08;116,10;116,20;115,90;116,60;115,30;116,10;116,004;2726308;316261453,05;3880;
2017-09-07;115,60;115,70;115,90;116,60;114,90;115,80;115,731;3252353;376277279,6;4061;
2017-09-06;115,60;115,70;116,10;116,40;115,50;115,70;115,932;2553368;296017411,15;3788;
2017-09-05;115,80;115,90;117,30;117,50;115,80;115,90;116,42;2775498;323211650,4;3513;
2017-09-04;117,10;117,20;117,20;117,90;117,10;117,30;117,526;1657802;194834847,7;2510;
2017-09-01;118,30;118,50;119,00;119,40;117,80;118,10;118,359;2555994;302523697,1;3605;
2017-08-31;119,00;119,20;118,00;119,90;118,00;118,80;118,963;5508999;655383874,65;6043;
2017-08-30;117,60;117,70;116,00;117,90;115,50;117,70;116,992;4928630;576362719,6;4049;
2017-08-29;115,20;115,30;115,30;116,00;114,90;115,00;115,211;3565848;410824930,75;4349;
2017-08-28;115,40;115,60;115,10;116,80;115,10;115,60;115,858;2330413;269996933;3230;
2017-08-25;115,30;115,50;115,80;116,40;115,30;115,40;115,85;2587844;299802241,55;3864;
2017-08-24;115,60;115,70;115,80;116,50;115,40;115,70;115,788;2963113;343092934;4534;
2017-08-23;115,20;115,40;116,60;116,60;115,00;115,50;115,569;5685802;657101906,9;7920;
2017-08-22;116,30;116,40;117,40;118,00;116,20;116,60;116,713;3501429;408619085,92;5211;
2017-08-21;116,70;116,90;116,90;117,10;116,20;116,90;116,755;2221920;259857665,8;3443;
2017-08-18;117,20;117,40;117,00;117,40;116,30;117,40;116,868;2703226;315916658,4;3979;
2017-08-17;117,60;117,70;119,70;119,70;117,40;117,80;117,999;3659855;431859055,1;4965;
2017-08-16;119,90;120,00;119,20;120,20;119,00;119,60;119,692;2693909;322439360,45;3375;
2017-08-15;118,60;118,70;119,00;119,80;117,70;118,80;118,839;2628068;312313056;4095;
2017-08-14;119,10;119,20;118,40;119,60;118,40;119,00;119,071;1725712;205481693,85;2668;
2017-08-11;117,80;117,90;119,20;119,40;117,70;118,00;118,323;2555372;302360042,6;4297;
2017-08-10;119,20;119,30;120,50;120,90;119,10;119,40;119,792;2559963;306663047;4768;
2017-08-09;120,50;120,60;120,10;120,60;119,00;120,60;119,92;2665424;319638087,8;4065;
2017-08-08;120,60;120,70;121,30;121,80;120,00;120,70;120,791;2106191;254409283,5;3012;
2017-08-07;121,20;121,30;121,10;121,80;121,00;121,50;121,346;1528254;185446909,2;2504;
2017-08-04;121,40;121,50;120,70;121,90;119,90;121,50;120,983;1945196;235334824,4;3367;
2017-08-03;120,40;120,50;120,60;121,10;120,00;120,60;120,544;2381210;287041644,9;3657;
2017-08-02;120,50;120,60;121,30;121,70;120,40;120,80;120,799;2638499;318729958,95;3667;
2017-08-01;121,30;121,50;120,20;121,60;120,20;121,50;121,137;2767603;335258848,6;3849;
2017-07-31;120,00;120,10;121,60;122,10;119,80;120,20;120,588;2795520;337105968,2;3720;
2017-07-28;121,60;121,80;122,40;122,60;120,60;121,80;121,376;2841774;344923564,1;4569;
2017-07-27;122,20;122,30;121,60;123,10;121,50;122,20;122,502;2246636;275217082,85;3538;
2017-07-26;122,10;122,20;120,60;122,20;120,40;122,20;121,436;3166478;384523800,8;5006;
2017-07-25;120,80;120,90;121,10;121,70;120,70;120,90;121,091;2916377;353661903,6;3858;
2017-07-24;121,00;121,10;123,00;123,40;121,00;121,10;121,588;2562474;311580217,5;3772;
2017-07-21;122,80;122,90;123,00;123,70;122,40;123,10;123,04;2761315;339752912,65;4263;
2017-07-20;123,10;123,20;123,00;123,90;122,50;123,20;123,285;3497671;431210453,3;5155;
2017-07-19;122,80;123,00;121,90;123,10;121,20;122,80;122,413;3837805;469795523,9;5649;
2017-07-18;121,20;121,30;126,80;127,20;121,10;121,30;122,536;5104710;625522235,9;8267;
2017-07-17;126,60;126,70;125,90;127,20;124,90;126,70;126,362;3412758;431244414,5;5242;
2017-07-14;126,10;126,20;126,00;127,40;125,80;126,20;126,458;3393218;429100034,9;5276;
2017-07-13;124,90;125,00;125,30;125,40;124,90;125,10;125,144;1905677;238484468,5;2945;
