sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;119,20;119,40;120,10;120,10;119,10;119,20;119,756;33682;4033634,6;326;
2017-09-22;119,40;119,70;119,60;119,70;118,40;119,70;119,228;40041;4773986,4;270;
2017-09-21;119,20;119,60;117,70;119,70;117,70;119,60;118,868;26687;3172230,5;232;
2017-09-20;117,20;117,60;118,40;118,40;117,10;117,60;117,56;26870;3158839,7;264;
2017-09-19;117,70;117,90;117,70;118,10;117,10;117,90;117,658;34707;4083544,9;296;
2017-09-18;117,50;117,90;117,10;118,00;117,10;117,90;117,575;23205;2728325,1;264;
2017-09-15;116,80;117,00;118,30;118,40;116,50;116,60;117,253;54239;6359688,9;412;
2017-09-14;118,30;118,60;118,80;119,00;118,30;118,30;118,615;29664;3518580,5;299;
2017-09-13;118,60;118,90;119,10;119,10;118,00;118,90;118,447;19432;2301668,2;211;
2017-09-12;118,50;118,70;117,30;119,10;117,30;118,40;118,112;33812;3993584,7;310;
2017-09-11;117,20;117,30;116,00;117,50;116,00;117,10;116,834;60523;7071171,1;423;
2017-09-08;116,00;116,40;115,90;116,90;115,50;116,40;116,084;36284;4211994;301;
2017-09-07;115,50;115,80;115,70;116,20;114,70;115,80;115,405;40371;4659018,5;442;
2017-09-06;115,50;115,70;115,00;116,00;115,00;115,40;115,448;29488;3404327,8;364;
2017-09-05;115,00;115,40;117,00;117,10;115,00;115,00;115,836;33177;3843093,6;344;
2017-09-04;116,70;117,00;117,90;117,90;116,70;117,10;117,396;28305;3322899,6;308;
2017-09-01;118,00;118,20;119,10;119,30;117,70;117,80;118,292;22408;2650686,6;300;
2017-08-31;118,40;118,90;118,00;119,30;118,00;118,90;118,513;34629;4103986,8;336;
2017-08-30;117,20;117,30;115,30;117,50;115,30;117,20;116,287;28716;3339289,4;299;
2017-08-29;114,90;115,00;115,70;115,70;114,40;114,70;114,939;26318;3024951,3;421;
2017-08-28;115,40;115,80;115,40;116,10;115,40;115,40;115,75;25973;3006367,7;451;
2017-08-25;115,20;115,40;115,10;116,20;115,10;115,20;115,739;18396;2129136,5;316;
