sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;179,70;179,80;182,40;182,40;179,10;179,60;179,989;1550510;279074511,65;7170;
2017-09-22;182,30;182,40;180,80;183,40;180,10;182,10;181,892;1201251;218497358,65;4592;
2017-09-21;180,80;181,00;179,00;181,30;179,00;180,80;180,216;1055640;190243594,2;3420;
2017-09-20;178,60;178,80;179,30;180,40;177,90;178,60;178,769;1056146;188805699,7;4214;
2017-09-19;179,70;179,80;180,20;181,90;179,60;179,60;180,394;1662103;299797747,6;4382;
2017-09-18;180,20;180,30;178,40;180,40;178,30;180,40;179,838;1470389;264470537,2;3352;
2017-09-15;178,10;178,30;179,80;180,50;177,80;177,80;178,571;1690078;301798965,9;4551;
2017-09-14;179,50;179,70;180,00;181,00;179,20;179,60;179,933;1231692;221622089,1;3709;
2017-09-13;179,80;179,90;182,30;182,40;179,40;180,30;180,317;1247944;225025998,1;3943;
2017-09-12;182,10;182,20;182,50;183,70;181,70;182,20;182,827;1942935;355298160,15;5124;
2017-09-11;181,90;182,10;179,50;182,30;179,50;182,00;181,70;1482051;269315119,8;4224;
2017-09-08;178,40;178,50;178,60;179,40;177,90;178,80;178,627;773741;138210543,15;2714;
2017-09-07;178,90;179,00;177,00;179,00;176,30;178,70;177,84;1262214;224474412,85;4148;
2017-09-06;176,40;176,60;177,80;178,70;176,50;176,80;177,565;1178065;209183161,95;4399;
2017-09-05;178,40;178,60;179,00;179,50;178,10;178,60;178,747;929978;166234511,2;3619;
2017-09-04;178,70;178,80;178,50;179,50;177,70;179,00;178,72;875640;156494189,2;3509;
2017-09-01;179,60;179,70;180,30;181,50;179,30;179,40;180,294;1746531;314860985,3;5794;
2017-08-31;180,20;180,30;178,00;180,70;176,50;179,50;179,478;2494579;447722100;7235;
2017-08-30;176,90;177,10;174,10;177,40;174,10;177,00;176,265;1947445;343267409,15;6843;
2017-08-29;172,30;172,50;173,70;174,20;171,60;172,20;172,331;1107894;190931037,5;4089;
2017-08-28;173,40;173,60;175,00;175,70;173,40;173,70;174,355;613189;106912388,1;3105;
2017-08-25;175,50;175,70;174,10;175,80;174,10;175,40;175,272;1045496;183245858,6;4182;
2017-08-24;173,80;174,00;176,00;176,30;173,30;174,00;174,396;1047095;182609118,7;4402;
2017-08-23;175,70;175,90;177,20;177,60;175,60;175,80;176,42;895798;158031274,55;4335;
2017-08-22;177,00;177,10;175,90;177,60;175,10;177,20;176,168;1491191;262553409,65;5686;
2017-08-21;175,60;175,70;177,40;177,70;174,70;175,50;175,947;1702062;299624726,7;5520;
2017-08-18;177,90;178,00;177,80;178,90;177,10;178,00;178,034;1787982;318339720,25;5726;
2017-08-17;179,10;179,20;182,00;182,00;178,80;179,00;179,981;1702750;306461749,1;6833;
2017-08-16;182,30;182,50;182,00;183,40;181,80;182,30;182,511;1210780;220980405,4;3820;
2017-08-15;181,50;181,60;183,20;183,50;181,50;181,70;182,281;886241;161544979,7;3648;
2017-08-14;182,80;183,00;182,20;183,70;182,20;183,20;183,10;970315;177665025,6;3918;
2017-08-11;181,80;182,00;183,00;183,20;181,60;181,80;182,147;791532;144175696,65;3168;
2017-08-10;183,10;183,30;185,00;185,10;183,10;183,60;184,018;949582;174740299,5;3178;
2017-08-09;184,80;185,00;184,40;186,10;183,80;184,90;185,153;1190857;220489576,75;4348;
2017-08-08;185,60;185,80;183,50;185,80;182,90;185,40;184,966;898645;166218768,2;3221;
2017-08-07;183,60;183,70;183,40;184,40;182,90;183,70;183,643;634098;116447807;3202;
2017-08-04;183,30;183,40;182,90;184,00;181,50;183,40;183,015;920427;168451209,2;4116;
2017-08-03;182,90;183,10;182,30;184,60;181,30;182,80;182,845;1118485;204508715,5;4265;
2017-08-02;182,60;182,80;184,60;185,30;182,00;182,60;183,054;1742510;319178333,45;5877;
2017-08-01;184,60;184,70;183,20;185,60;183,10;184,60;184,681;1311765;242258294;4559;
2017-07-31;184,30;184,50;185,10;185,70;183,60;183,60;184,20;2606340;480088183,75;5480;
2017-07-28;185,50;185,60;187,50;188,00;184,50;185,40;185,421;1285075;238279553,9;5448;
2017-07-27;187,70;187,80;187,50;189,60;187,10;187,60;187,988;1127122;211884944,75;3941;
2017-07-26;187,50;187,70;187,50;189,50;187,20;187,50;188,001;992284;186549972,7;3866;
2017-07-25;187,30;187,50;187,00;190,10;187,00;187,50;188,276;1337359;252024783,2;4969;
2017-07-24;187,10;187,20;189,40;190,00;187,00;187,00;187,787;1167330;219209914,1;4794;
2017-07-21;189,60;189,80;191,50;191,70;187,20;189,40;189,459;1904236;360774533,45;6629;
2017-07-20;191,70;192,00;193,80;197,40;191,10;192,00;193,768;2321465;450526011,7;6348;
2017-07-19;194,00;194,10;194,60;195,30;190,70;193,80;192,635;1649532;317701561,65;5035;
2017-07-18;193,20;193,40;196,00;196,40;192,20;193,30;193,881;2102871;407763849;6787;
2017-07-17;196,20;196,40;194,00;198,10;191,90;196,30;195,542;3059876;598332975,25;9275;
2017-07-14;193,30;193,50;199,50;199,80;192,60;193,80;195,794;6743398;1320145609;20288;
2017-07-13;206,20;206,30;206,70;207,40;205,70;206,50;206,49;1118237;230905204,1;3405;
2017-07-12;206,30;206,50;203,50;206,70;203,50;206,70;205,842;1360857;280120731,8;3865;
2017-07-11;203,50;203,70;205,20;206,00;203,60;204,00;204,605;1125567;230298480,4;3007;
2017-07-10;205,10;205,20;204,90;206,10;203,80;205,00;205,181;1083764;222368179,2;3047;
2017-07-07;203,80;204,00;204,10;204,70;203,60;204,10;203,955;807062;164604516,3;3092;
2017-07-06;204,10;204,20;204,70;205,30;203,40;204,10;203,971;1518301;309677074,3;5275;
2017-07-05;205,50;205,70;204,00;205,80;202,60;205,40;204,671;1095399;224196269,1;3657;
2017-07-04;204,30;204,50;204,00;204,60;203,40;204,00;204,172;886709;181038862,35;3134;
2017-07-03;204,30;204,50;200,30;205,30;200,30;204,50;202,947;1929403;391567814,65;5789;
2017-06-30;199,90;200,10;199,90;201,70;199,60;199,90;200,403;1163936;233256666,8;4108;
2017-06-29;199,90;200,00;204,50;204,70;199,10;199,90;201,083;1830019;367936204,6;6224;
2017-06-28;204,20;204,40;204,60;204,60;202,20;204,50;203,473;1425499;290054006,15;5396;
2017-06-27;204,80;204,90;207,40;207,60;204,50;204,80;205,656;1272503;261699286,85;4241;
2017-06-26;207,40;207,50;205,70;208,60;205,70;207,50;207,579;1375506;285528140,6;4505;
2017-06-22;208,40;208,50;210,50;210,70;208,10;208,10;208,911;1303757;272369522,6;4333;
2017-06-21;210,40;210,60;213,00;213,00;210,20;210,70;211,018;1552982;327706376,4;5038;
2017-06-20;213,50;213,60;212,00;213,70;211,00;213,10;212,82;1694421;360613788,95;5153;
2017-06-19;212,00;212,20;210,00;212,10;209,90;211,50;211,311;1461403;308663690,4;4872;
2017-06-16;207,40;207,60;205,80;208,60;205,70;207,70;207,368;1344817;278871584,8;4358;
2017-06-15;205,40;205,60;206,80;207,00;204,60;205,60;205,537;1353987;278294668,95;4283;
2017-06-14;206,70;206,80;206,90;208,00;206,30;206,50;207,089;989231;204860226,95;3537;
2017-06-13;206,50;206,60;206,40;207,20;205,60;206,80;206,524;1133723;234142816,9;3820;
2017-06-12;206,10;206,20;207,00;207,00;205,60;206,40;206,271;988735;203947300,1;3663;
2017-06-09;207,50;207,70;204,80;207,90;204,70;207,60;206,895;1241195;256797456,3;4267;
2017-06-08;205,10;205,20;205,00;205,90;204,40;205,20;205,114;1323338;271437958,1;4505;
2017-06-07;205,20;205,40;207,30;207,60;203,80;205,30;205,711;1836001;377698656,5;6021;
2017-06-05;208,70;208,90;209,00;209,70;208,20;208,30;208,734;900940;188057110,1;3172;
2017-06-02;209,00;209,10;207,00;209,50;207,00;208,90;208,929;1185454;247647073,95;3447;
2017-06-01;207,60;207,70;206,90;208,60;206,50;207,30;207,812;1169319;243005604,35;4012;
2017-05-31;207,40;207,50;207,20;208,10;206,70;206,90;207,151;2285211;473384651,5;5410;
2017-05-30;207,40;207,50;206,10;207,80;205,60;207,40;207,101;984584;203907552,3;3241;
2017-05-29;206,50;206,60;205,30;207,00;204,50;206,80;206,136;871072;179559076,8;3109;
2017-05-26;205,30;205,40;204,70;205,70;203,60;205,40;204,872;940590;192700806,55;3703;
2017-05-24;204,70;204,80;205,10;205,60;204,20;205,30;205,027;784494;160842198,3;2502;
2017-05-23;205,50;205,60;205,10;206,40;204,70;205,50;205,453;852043;175054544,65;3330;
2017-05-22;205,60;205,70;206,50;206,90;205,20;205,30;205,884;1411601;290908220,45;4309;
2017-05-19;205,40;205,60;205,00;206,70;204,80;205,80;205,647;1190322;244786028,6;4494;
2017-05-18;205,30;205,40;208,80;209,00;204,10;205,30;205,955;2116171;435837543,55;7667;
2017-05-17;209,20;209,40;212,80;213,50;209,20;209,40;211,218;1436713;303465273,52;4952;
2017-05-16;214,40;214,60;215,30;215,90;214,10;214,20;214,738;1003091;215397957,4;3694;
2017-05-15;214,80;214,90;215,70;216,40;214,30;215,00;215,08;1088030;234013801,6;3556;
2017-05-12;215,70;215,80;216,90;217,60;215,00;215,60;215,984;850171;183622823,45;3370;
2017-05-11;216,80;216,90;215,80;218,30;215,60;216,90;217,077;1626230;353019889,35;5657;
2017-05-10;215,70;215,90;216,40;217,30;215,60;215,80;216,079;1118442;241672497,4;3770;
2017-05-09;216,70;216,90;212,40;216,80;212,40;216,50;215,308;1760971;379261673,55;5110;
2017-05-08;212,10;212,20;212,30;212,60;211,00;212,10;211,892;1473627;312249204,6;4938;
