sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;171,00;171,30;169,50;172,20;169,50;170,80;171,479;7094;1216468,5;96;
2017-09-22;170,00;170,30;170,00;170,40;168,80;170,40;169,587;3933;666984,6;60;
2017-09-21;170,10;170,40;169,00;170,30;168,70;168,80;169,746;8233;1397517,8;84;
2017-09-20;168,90;169,20;169,80;170,30;167,80;169,30;168,981;8753;1479093,2;69;
2017-09-19;169,40;169,70;167,60;169,90;167,60;169,70;169,093;10689;1807437;127;
2017-09-18;166,50;166,80;165,10;166,90;165,10;166,50;166,41;4565;759659,7;66;
2017-09-15;165,30;165,60;164,60;165,80;164,30;164,80;165,222;12678;2094679,8;187;
2017-09-14;164,10;164,40;163,50;164,50;163,10;164,50;163,76;7150;1170880,3;56;
2017-09-13;163,20;163,50;161,90;163,50;161,50;162,80;162,572;995;161758,7;39;
2017-09-12;161,90;162,20;162,30;164,00;161,80;162,50;162,891;12291;2002088,9;74;
2017-09-11;161,30;161,90;158,30;162,60;158,30;161,00;161,326;11832;1908811,3;95;
2017-09-08;157,50;158,00;156,60;158,40;156,10;157,50;157,21;2707;425568,5;25;
2017-09-07;156,60;157,20;156,20;157,40;155,90;157,40;156,503;3084;482656;39;
2017-09-06;155,10;155,60;156,00;157,40;155,00;155,50;155,785;17461;2720153,7;93;
2017-09-05;157,40;157,70;160,00;160,00;157,40;157,40;158,301;22548;3569364,4;90;
2017-09-04;158,70;159,00;158,00;159,60;158,00;158,60;158,79;10152;1612038,4;78;
2017-09-01;159,20;159,50;157,80;160,40;157,80;159,30;159,499;10796;1721954,7;78;
2017-08-31;158,90;159,10;158,40;159,50;158,40;159,00;158,717;10801;1714301,7;75;
2017-08-30;157,30;157,70;157,40;157,70;154,60;157,30;155,794;2529;394002,2;37;
2017-08-29;154,50;154,90;157,40;157,40;154,50;154,60;155,807;17641;2748590,9;118;
2017-08-28;157,60;158,00;158,00;158,90;157,80;157,90;158,092;2644;417994,2;38;
2017-08-25;159,00;159,40;159,10;162,20;158,50;159,20;159,536;4567;728602,3;63;
2017-08-24;159,20;159,50;160,30;161,20;158,90;159,10;160,213;5302;849450,6;52;
2017-08-23;158,90;159,20;159,30;160,90;158,60;158,70;159,267;4945;787573,5;69;
2017-08-22;159,00;159,30;157,20;159,70;157,20;159,20;158,465;3063;485378,1;38;
2017-08-21;156,10;156,50;156,40;157,20;155,70;156,30;156,273;17765;2776194,5;69;
2017-08-18;156,30;156,60;156,10;157,10;154,80;156,50;156,078;13220;2063351,1;115;
2017-08-17;157,40;157,60;160,00;160,00;156,30;157,40;157,32;8219;1293016,6;85;
2017-08-16;159,00;159,40;157,70;159,90;157,50;159,70;158,816;15890;2523578,5;97;
2017-08-15;156,70;157,00;158,40;158,80;155,80;156,90;156,738;11777;1845906,5;121;
2017-08-14;158,00;158,30;157,40;158,90;157,30;158,20;157,903;19861;3136112,1;104;
2017-08-11;157,30;157,80;157,90;158,40;155,90;157,10;156,939;30715;4820374,5;153;
2017-08-10;158,60;158,90;160,70;160,90;158,60;158,70;159,218;19500;3104759,5;127;
2017-08-09;160,60;161,00;162,00;162,20;159,50;160,70;160,491;8161;1309767,8;83;
2017-08-08;161,80;162,00;160,10;162,50;159,40;161,90;161,14;8559;1379195,6;95;
2017-08-07;159,90;160,30;160,40;160,50;158,90;160,10;159,926;17685;2828293,8;166;
2017-08-04;160,10;160,60;161,00;161,30;159,80;160,40;160,365;14121;2264516,8;115;
2017-08-03;160,70;161,40;163,00;163,00;159,30;161,00;160,253;13622;2182961,9;119;
2017-08-02;161,40;162,10;163,30;163,30;161,20;161,80;161,823;11018;1782966,1;74;
2017-08-01;163,20;163,50;160,50;163,90;160,50;163,30;163,14;9212;1502847,4;86;
2017-07-31;160,70;161,10;161,40;161,80;160,90;160,90;161,341;8598;1387205,6;116;
2017-07-28;161,60;162,00;163,20;163,20;161,30;162,00;162,107;7995;1296046,4;91;
2017-07-27;162,80;163,30;164,40;164,70;162,80;163,10;163,644;17651;2888470,8;143;
2017-07-26;164,00;164,30;163,90;165,00;163,30;164,10;164,085;7117;1167790,1;102;
2017-07-25;164,10;165,00;166,00;166,00;163,10;163,90;163,55;12208;1996615,7;118;
2017-07-24;165,00;166,00;166,50;166,50;164,40;165,70;165,526;6845;1133024,7;103;
2017-07-21;165,20;165,40;175,30;176,80;163,00;166,00;166,543;50919;8480185,8;369;
2017-07-20;173,30;173,70;176,10;177,40;172,60;174,30;175,719;4990;876836,9;55;
2017-07-19;175,90;176,30;176,40;177,70;173,70;176,40;175,949;2837;499168,5;49;
2017-07-18;175,80;176,20;172,70;176,40;172,60;176,40;174,705;8173;1427864,4;73;
2017-07-17;173,60;173,90;175,10;175,50;170,80;173,60;174,126;10665;1857052,1;75;
2017-07-14;175,00;175,30;175,70;176,10;174,90;175,10;175,165;5428;950795,5;26;
2017-07-13;175,70;176,00;177,70;177,70;175,70;175,70;177,337;4942;876399,7;47;
2017-07-12;177,50;178,00;174,00;179,00;174,00;177,70;176,817;5996;1060196,2;47;
2017-07-11;173,60;174,00;175,20;176,10;173,70;173,70;175,124;3442;602777,1;37;
2017-07-10;175,10;175,40;172,50;175,40;172,30;174,60;173,337;13958;2419439,3;103;
2017-07-07;172,00;172,30;171,00;172,00;171,00;172,00;171,322;5016;859353,4;53;
2017-07-06;171,20;171,50;171,60;171,60;169,60;171,20;170,354;3472;591469,5;51;
2017-07-05;171,50;171,90;169,30;172,10;168,50;171,50;171,068;7424;1270010,7;50;
2017-07-04;169,40;169,70;171,00;171,80;168,90;169,10;170,563;13116;2237109,3;136;
2017-07-03;172,00;172,30;170,50;172,80;170,50;171,90;171,854;3619;621940,5;73;
2017-06-30;170,90;171,30;170,60;172,80;170,60;171,00;171,243;10804;1850107,3;157;
2017-06-29;171,00;171,30;174,00;174,10;170,60;170,60;172,165;17243;2968643,8;141;
2017-06-28;173,10;173,50;174,00;175,20;169,80;173,20;172,64;15499;2675743,6;192;
2017-06-27;173,10;173,40;177,60;177,60;173,20;173,60;174,967;23659;4139543,7;289;
2017-06-26;180,40;180,60;182,70;183,80;180,00;180,00;181,946;20916;3805586,9;180;
2017-06-22;182,90;183,20;183,60;183,60;181,40;182,90;182,884;14664;2681803,8;104;
2017-06-21;182,40;182,60;181,00;183,40;179,90;182,40;181,924;11945;2173078,1;107;
2017-06-20;181,50;181,90;183,10;183,70;181,60;181,60;182,574;11164;2038258;93;
2017-06-19;183,20;183,60;182,50;184,30;182,40;183,10;183,677;12355;2269328,7;122;
2017-06-16;181,60;181,80;178,00;182,00;178,00;181,50;180,696;20281;3664695,6;186;
2017-06-15;177,90;178,10;179,20;179,20;177,00;177,90;177,982;11805;2101078;229;
2017-06-14;179,50;179,80;180,50;181,90;179,10;179,10;180,627;10584;1911758,2;193;
2017-06-13;180,30;180,50;179,30;180,80;179,00;180,50;179,874;9156;1646925,6;143;
2017-06-12;179,10;179,30;183,70;183,70;178,30;179,10;180,66;22667;4095017,2;208;
2017-06-09;184,20;184,40;180,60;185,10;180,60;183,70;183,879;30100;5535175,9;203;
2017-06-08;180,20;180,50;182,10;182,70;180,20;180,20;181,666;8266;1501647,8;115;
2017-06-07;182,30;182,70;180,00;182,80;178,80;182,00;181,10;14474;2621236,6;182;
2017-06-05;179,30;179,70;182,10;182,10;178,60;179,40;180,219;12658;2281205,7;113;
2017-06-02;182,00;182,10;179,30;184,10;179,30;182,10;182,231;14826;2701762,8;245;
2017-06-01;178,50;178,70;178,30;179,60;177,50;179,10;178,746;5474;978457,8;163;
2017-05-31;177,30;177,50;177,80;179,40;176,50;179,40;178,663;11968;2138233;137;
