sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;31,36;31,39;31,70;31,85;31,34;31,38;31,602;2572175;81287855,9;2788;
2017-09-22;31,73;31,76;32,00;32,00;31,39;31,71;31,544;4624367;145871023,45;5315;
2017-09-21;32,13;32,17;32,27;32,60;32,13;32,17;32,376;3766847;121953437,78;3734;
2017-09-20;32,28;32,29;32,17;32,40;31,78;32,29;32,143;4128001;132686135,17;3594;
2017-09-19;31,79;31,81;31,96;32,13;31,71;31,80;31,863;2814716;89683075,38;3615;
2017-09-18;31,87;31,90;32,71;32,80;31,83;31,90;32,151;4912969;157956372,17;5315;
2017-09-15;32,43;32,45;32,80;32,89;32,32;32,56;32,548;4516024;146989072,48;4090;
2017-09-14;32,83;32,85;33,47;33,48;32,77;32,82;32,992;3586641;118330730,87;4069;
2017-09-13;33,50;33,52;33,90;34,09;33,31;33,50;33,651;2664707;89664861,24;2527;
2017-09-12;34,05;34,09;34,39;34,50;33,84;34,04;34,074;2507991;85461182,77;2550;
2017-09-11;34,38;34,39;34,10;34,50;33,89;34,34;34,262;3504296;120057607,15;3782;
2017-09-08;33,84;33,87;33,20;34,47;33,00;33,86;33,927;5025338;170496340,35;5848;
2017-09-07;33,29;33,31;32,99;33,36;32,68;33,32;33,122;2660369;88115855,64;2779;
2017-09-06;32,77;32,80;32,60;32,82;32,39;32,76;32,648;2969093;96945215,12;2874;
2017-09-05;32,73;32,75;32,62;33,13;32,62;32,69;32,941;3142246;103508367,74;3809;
2017-09-04;32,74;32,78;32,52;32,85;32,51;32,72;32,698;2229359;72895275,77;2642;
2017-09-01;33,03;33,07;32,62;33,15;32,62;33,06;32,972;4068292;134140868,33;3504;
2017-08-31;32,67;32,70;31,83;32,70;31,73;32,68;32,351;5279369;170798976,84;6153;
2017-08-30;31,54;31,55;31,76;31,94;31,43;31,62;31,644;3717839;117645310,43;3494;
2017-08-29;31,42;31,45;31,91;31,99;31,15;31,45;31,391;5438190;170699913,84;5498;
2017-08-28;32,23;32,28;32,45;32,50;32,12;32,28;32,242;1682829;54256715,16;2046;
2017-08-25;32,53;32,58;32,40;32,87;32,28;32,50;32,649;2777150;90670828,46;4285;
2017-08-24;32,30;32,34;32,35;32,65;32,06;32,36;32,396;2595452;84081757,25;3126;
2017-08-23;32,29;32,32;32,80;32,86;32,18;32,32;32,47;2997970;97344362,58;3796;
2017-08-22;32,73;32,74;32,21;32,79;32,09;32,72;32,429;4417037;143238374,92;4976;
2017-08-21;31,89;31,93;31,85;32,32;31,84;31,88;32,051;2692537;86297940,73;3211;
2017-08-18;32,02;32,06;32,00;32,36;31,67;32,08;31,952;2767649;88429894,15;3130;
2017-08-17;32,37;32,38;32,70;32,82;32,17;32,34;32,474;1959089;63618380,42;3183;
2017-08-16;32,56;32,60;32,26;32,73;32,26;32,61;32,513;2245123;72995362,58;3514;
2017-08-15;32,07;32,11;32,76;33,01;32,07;32,13;32,406;3228415;104616138,17;3755;
2017-08-14;32,69;32,70;32,55;33,30;32,55;32,69;32,876;3541265;116422692,63;4784;
