sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;91,10;91,60;91,70;91,70;91,10;91,60;91,533;668;61144,2;26;
2017-09-22;91,25;91,65;92,35;92,50;91,20;91,70;91,887;2786;255997,7;39;
2017-09-21;91,90;92,40;94,00;94,00;91,55;92,35;92,067;4712;433820,85;45;
2017-09-20;93,05;93,80;94,65;95,05;93,15;94,00;94,301;2204;207838,7;43;
2017-09-19;94,00;94,65;94,50;94,65;93,15;94,65;94,211;481;45315,25;13;
2017-09-18;94,00;94,50;94,25;94,70;93,55;94,50;94,20;4173;393096,45;41;
2017-09-15;93,40;94,40;94,80;95,30;94,00;94,20;94,385;1810;170835,9;19;
2017-09-14;94,10;94,80;94,90;95,00;94,50;94,80;94,796;4749;450183,9;18;
2017-09-13;94,50;94,90;94,00;95,35;94,00;95,10;94,532;3987;376898,15;26;
2017-09-12;94,00;95,05;94,70;95,10;94,50;94,90;94,864;3009;285447;25;
2017-09-11;94,15;94,50;93,10;94,80;93,10;94,50;94,195;3519;331470,5;46;
2017-09-08;92,40;92,95;92,55;93,30;92,00;92,40;92,554;3225;298485,45;21;
2017-09-07;92,20;92,75;91,40;92,55;91,40;92,55;91,786;1322;121340,45;21;
2017-09-06;91,00;91,55;91,15;91,50;90,60;91,40;90,914;3863;351201,55;37;
2017-09-05;91,40;91,60;92,25;92,40;91,00;91,40;91,483;3263;298509,05;41;
2017-09-04;91,60;91,80;92,50;92,50;91,45;91,80;92,074;2191;201733,45;32;
2017-09-01;92,55;93,00;92,90;93,35;92,50;93,00;92,694;4275;396264,5;45;
2017-08-31;92,50;92,95;93,65;93,65;92,50;92,90;92,834;3512;326034,15;40;
2017-08-30;92,65;93,50;92,55;93,65;92,30;93,65;92,945;2131;198066,45;36;
2017-08-29;91,75;92,70;92,75;92,90;91,35;91,90;92,16;2183;201184,3;37;
2017-08-28;92,50;93,20;93,90;93,90;92,35;93,20;93,079;761;70832,85;25;
2017-08-25;93,60;93,95;94,50;94,50;93,35;93,95;94,01;1238;116384,8;29;
2017-08-24;93,90;94,75;94,30;94,65;93,80;94,65;94,285;1864;175746,9;22;
2017-08-23;93,20;94,25;94,55;94,90;93,25;94,30;94,376;4605;434600,85;32;
2017-08-22;94,15;95,20;94,70;94,95;94,10;94,15;94,492;1290;121894;15;
2017-08-21;94,25;94,70;95,00;95,15;94,20;94,25;94,584;2323;219718,2;23;
2017-08-18;94,10;94,95;95,05;95,25;93,75;95,00;94,443;1865;176133,1;30;
2017-08-17;94,50;95,20;95,65;96,00;95,00;95,05;95,537;703;67162,15;20;
2017-08-16;95,65;96,10;95,95;96,10;95,00;95,65;95,75;2748;263120,85;25;
2017-08-15;95,70;95,85;97,60;97,60;95,50;96,00;95,794;3609;345720,95;20;
2017-08-14;97,15;97,60;95,00;97,70;95,00;97,70;96,104;3889;373747,5;28;
2017-08-11;95,60;95,85;96,75;96,75;94,85;95,60;95,576;7156;683943,8;36;
2017-08-10;96,25;97,30;98,00;98,35;97,00;97,25;97,466;3511;342203,5;21;
2017-08-09;98,00;98,55;98,40;99,30;98,00;98,80;98,192;21481;2109250,95;49;
2017-08-08;98,95;99,00;98,00;99,00;98,00;98,95;98,498;2960;291553,15;39;
2017-08-07;97,40;98,20;97,80;98,40;97,40;98,00;97,814;4349;425394,7;26;
2017-08-04;97,10;97,80;97,20;97,70;96,50;97,70;97,201;3097;301029,9;20;
2017-08-03;97,10;97,40;97,00;97,45;95,80;97,10;96,246;5516;530894,45;41;
2017-08-02;96,75;97,20;97,35;97,50;96,00;97,30;96,173;10726;1031550,15;59;
2017-08-01;96,40;97,25;95,60;97,35;95,60;97,35;96,69;1831;177038,8;17;
2017-07-31;95,70;96,75;96,00;97,10;95,95;96,25;96,477;2450;236367,7;30;
2017-07-28;95,25;96,10;97,40;97,40;95,05;96,00;96,239;1744;167840,15;25;
2017-07-27;96,60;97,25;96,30;98,20;96,30;97,45;97,315;2996;291556,95;23;
2017-07-26;96,30;97,10;96,40;97,25;95,40;96,30;96,494;5381;519235,1;36;
2017-07-25;95,90;96,50;96,50;97,00;95,65;96,60;96,267;4707;453126,2;36;
2017-07-24;96,25;97,00;98,05;98,05;96,50;97,25;97,421;1228;119632,6;26;
2017-07-21;97,25;98,05;99,45;99,50;97,55;98,05;98,345;5348;525949;42;
2017-07-20;98,60;99,40;100,70;100,70;98,20;99,50;99,238;7833;777332,15;49;
2017-07-19;99,30;100,80;95,95;102,00;95,95;100,80;99,34;35585;3535007,9;167;
2017-07-18;94,00;95,30;95,30;96,50;93,95;95,15;94,748;2932;277801,6;35;
2017-07-17;94,35;96,00;93,45;95,95;93,00;95,95;94,116;6475;609399,8;36;
2017-07-14;93,00;93,70;94,50;94,50;93,00;93,45;93,625;518;48497,5;11;
2017-07-13;93,20;94,60;92,90;94,70;92,20;94,55;93,426;6501;607361,75;55;
2017-07-12;91,70;92,80;91,40;92,95;90,55;92,90;91,191;1603;146179,3;21;
2017-07-11;92,00;92,35;92,95;92,95;90,25;91,60;90,875;9194;835508,5;55;
2017-07-10;91,95;92,95;91,90;92,95;91,45;92,95;91,81;1035;95022,8;18;
2017-07-07;90,75;91,45;89,10;91,80;89,10;91,45;90,471;2835;256485,9;32;
2017-07-06;89,70;90,55;91,00;91,65;89,65;90,55;90,09;1410;127027,2;18;
2017-07-05;89,75;91,70;90,50;91,90;89,15;91,00;90,805;2971;269782,1;42;
2017-07-04;90,20;91,45;92,00;92,50;89,05;90,50;90,607;4043;366323,75;61;
2017-07-03;91,00;91,30;90,75;93,45;90,75;91,30;91,874;3864;355002,1;53;
2017-06-30;90,70;91,50;90,50;92,60;90,15;90,70;90,947;3522;320314,35;27;
2017-06-29;90,50;91,80;92,60;92,60;90,25;91,00;91,543;4442;406633,3;39;
2017-06-28;92,00;92,60;93,00;94,75;92,00;92,60;93,085;4772;444203,5;44;
2017-06-27;93,30;94,00;91,70;94,90;91,70;93,30;93,343;8478;791359,2;68;
2017-06-26;92,00;92,25;93,00;93,00;91,65;92,25;92,464;9394;868608,45;65;
2017-06-22;91,70;92,90;93,00;93,00;91,00;92,85;91,903;6003;551692,45;56;
2017-06-21;92,00;93,00;92,00;93,00;92,00;92,95;92,564;955;88398,45;20;
2017-06-20;91,45;92,00;93,00;93,00;90,70;92,00;92,029;1308;120373,65;15;
2017-06-19;92,05;92,95;92,00;93,00;90,15;92,95;92,581;4393;406706,75;38;
2017-06-16;91,10;92,00;91,50;92,00;90,65;91,95;91,573;2015;184519,95;37;
2017-06-15;90,30;92,20;91,80;92,25;88,75;90,20;91,086;2167;197383,5;36;
2017-06-14;92,00;92,40;93,00;94,00;91,80;91,90;92,248;4343;400633,65;47;
2017-06-13;92,05;92,95;93,00;94,00;92,15;93,00;92,751;8097;751000,5;64;
2017-06-12;92,25;93,00;94,95;94,95;92,00;93,15;93,062;2138;198966,6;39;
2017-06-09;93,10;94,95;94,20;94,95;92,00;94,95;93,777;3864;362352,4;36;
2017-06-08;93,50;94,25;94,95;94,95;93,50;94,20;94,428;900;84985,55;34;
2017-06-07;93,55;94,90;93,95;95,00;93,45;94,95;94,558;1770;167368,45;35;
2017-06-05;93,70;94,45;95,65;95,65;93,65;93,95;94,84;3685;349485,65;31;
2017-06-02;94,40;95,70;94,00;95,95;94,00;95,85;94,783;5410;512777,35;28;
2017-06-01;93,50;94,45;94,50;95,00;93,10;94,45;94,03;6339;596058,7;56;
2017-05-31;94,10;94,45;95,35;95,35;94,10;94,10;94,757;625;59223,15;19;
2017-05-30;94,20;95,40;94,75;95,40;94,20;95,35;94,989;1787;169744,95;31;
2017-05-29;94,65;94,75;96,20;96,20;94,10;94,75;94,75;5767;546422,3;54;
2017-05-26;95,95;96,20;97,00;97,00;95,75;96,20;96,155;4962;477122,55;40;
2017-05-24;96,60;96,90;96,10;97,00;96,10;96,90;96,806;1116;108035,4;26;
2017-05-23;96,20;96,85;96,00;97,30;96,00;96,10;96,49;899;86744,2;18;
2017-05-22;96,00;96,40;96,00;97,00;96,00;96,10;96,532;2800;270288,45;31;
2017-05-19;96,15;96,90;97,70;97,70;95,70;96,15;96,549;1140;110065,25;24;
2017-05-18;97,50;97,85;97,90;98,00;97,50;97,85;97,881;6498;636031,85;43;
2017-05-17;97,90;98,00;97,90;98,00;97,90;97,90;97,905;6671;653121,2;36;
2017-05-16;97,90;98,00;97,90;98,60;97,90;97,90;97,97;3585;351222,7;51;
2017-05-15;98,10;98,95;97,90;98,95;97,90;98,15;98,156;3000;294468,75;29;
2017-05-12;98,00;98,80;98,65;99,00;98,00;98,80;98,587;911;89812,55;16;
2017-05-11;98,15;98,65;98,75;98,90;98,05;98,65;98,573;1812;178613,35;30;
