sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-09-25;153,10;153,20;152,90;156,00;152,90;153,20;154,219;239275;36900588;1071;
2017-09-22;151,70;151,90;152,00;152,70;151,50;152,00;151,994;122497;18618814,4;565;
2017-09-21;152,10;152,30;149,80;152,90;149,80;152,10;151,894;316081;48010713,9;883;
2017-09-20;149,50;149,70;149,90;150,00;149,30;149,50;149,565;58912;8811189;281;
2017-09-19;149,70;149,90;149,40;150,90;149,40;149,90;150,111;86594;12998724,7;466;
2017-09-18;149,30;149,50;149,30;149,80;148,50;149,80;149,098;88999;13269526,7;429;
2017-09-15;148,40;148,70;149,40;150,10;148,00;148,50;149,111;117113;17462867,9;450;
2017-09-14;149,80;150,00;147,90;150,10;147,70;150,10;149,401;95169;14218302,8;457;
2017-09-13;148,40;148,60;147,90;149,00;147,80;148,70;148,559;87366;12978962,3;475;
2017-09-12;147,90;148,20;147,50;148,30;147,10;148,20;147,826;82281;12163228,5;517;
2017-09-11;147,30;147,50;146,60;148,60;146,60;147,20;147,502;92277;13611514;410;
2017-09-08;146,40;146,60;146,70;147,40;145,50;146,70;146,359;78841;11539071;477;
2017-09-07;147,40;147,60;145,80;148,00;145,80;147,70;147,244;76291;11233355,6;397;
2017-09-06;144,90;145,20;145,00;146,30;144,80;145,40;145,495;107462;15635188,4;625;
2017-09-05;145,70;145,90;145,40;147,20;145,40;145,80;146,405;98657;14443846,5;505;
2017-09-04;145,40;145,60;143,70;146,80;143,70;145,50;145,351;132363;19239075,3;736;
2017-09-01;145,90;146,00;142,20;146,00;141,80;145,70;144,598;286541;41433121,4;997;
2017-08-31;135,10;135,40;135,20;136,40;135,10;135,70;135,678;106858;14498308,4;429;
2017-08-30;135,00;135,20;134,00;135,30;134,00;135,10;134,881;63086;8509072,1;318;
2017-08-29;133,40;133,80;134,10;134,10;131,90;133,60;133,33;135028;18003319,4;613;
2017-08-28;136,00;136,30;135,30;136,50;135,30;135,90;136,021;38880;5288481,9;231;
2017-08-25;136,30;136,60;138,50;139,60;136,40;136,40;137,93;118404;16331510;465;
2017-08-24;138,60;138,70;140,80;141,00;138,30;138,30;139,432;211637;29509002,2;708;
2017-08-23;140,40;140,80;140,40;140,80;140,10;140,80;140,478;84227;11832035,7;388;
2017-08-22;140,40;140,70;137,10;140,70;137,10;140,70;139,363;105729;14734658;474;
2017-08-21;136,30;136,70;135,50;136,70;135,40;136,70;136,086;44997;6123465,5;287;
2017-08-18;136,10;136,40;136,00;137,20;135,80;136,40;136,371;73398;10009330,35;413;
2017-08-17;137,80;138,00;138,90;139,00;137,50;137,80;138,199;69523;9607985,9;513;
2017-08-16;139,00;139,20;139,00;140,00;139,00;139,30;139,439;78706;10974679,4;429;
2017-08-15;137,90;138,20;138,90;140,00;137,00;138,50;138,244;55532;7676964,5;293;
2017-08-14;139,10;139,40;138,40;140,40;138,40;139,50;139,348;91317;12724855,8;358;
2017-08-11;138,00;138,20;139,50;139,50;136,80;138,00;138,166;91092;12585829,3;477;
2017-08-10;139,90;140,00;141,20;141,40;140,00;140,40;140,594;82490;11597580,5;399;
2017-08-09;141,20;141,30;142,00;142,00;140,00;141,40;141,083;100963;14244132,2;420;
2017-08-08;143,30;143,50;141,00;143,70;140,50;143,70;142,181;68315;9713066,2;372;
2017-08-07;140,70;140,90;140,30;141,30;139,90;141,30;140,729;81871;11521595,5;363;
2017-08-04;140,00;140,30;138,70;140,80;137,90;140,60;139,819;90595;12666869,8;430;
2017-08-03;138,20;138,40;138,10;139,10;137,40;138,70;138,382;71315;9868675,7;374;
2017-08-02;137,80;138,10;139,20;139,50;137,70;138,30;138,205;62680;8662674;353;
2017-08-01;138,90;139,20;137,40;140,30;137,40;139,20;139,78;275266;38476615,5;641;
2017-07-31;137,10;137,30;138,90;139,40;137,10;137,10;138,307;62281;8613868,3;400;
2017-07-28;138,50;138,70;140,60;140,60;137,70;139,00;138,728;126836;17595698,5;588;
2017-07-27;140,50;140,80;142,30;143,30;140,60;140,80;141,723;61936;8777736,5;403;
2017-07-26;142,90;143,10;141,60;143,20;141,10;143,20;141,753;222829;31586723;630;
2017-07-25;141,10;141,30;139,80;141,80;139,80;141,40;141,12;99621;14058497,4;457;
2017-07-24;139,90;140,10;139,30;140,80;138,30;140,00;139,812;128869;18017365,2;736;
2017-07-21;139,10;139,20;142,00;142,10;137,00;139,40;138,457;358193;49594146,5;1086;
2017-07-20;142,00;142,30;142,00;145,00;140,90;142,40;143,004;191739;27419420,7;1022;
2017-07-19;140,10;140,50;141,60;142,50;134,20;140,70;139,171;339246;47213329,1;1558;
2017-07-18;145,00;145,20;147,00;147,50;143,70;145,40;144,988;178416;25868111,7;849;
2017-07-17;146,80;147,00;149,90;150,80;146,70;147,10;148,511;166990;24799763,9;841;
2017-07-14;149,60;149,80;149,00;149,90;148,30;149,90;149,281;76583;11432379,6;415;
2017-07-13;148,30;148,60;150,20;150,60;148,40;148,70;149,656;92043;13774827;518;
2017-07-12;150,20;150,40;148,80;150,40;147,70;150,30;149,546;162581;24313260,1;709;
2017-07-11;148,30;148,40;149,10;149,60;147,80;148,50;148,203;329561;48841792,3;853;
2017-07-10;148,80;149,00;148,20;149,10;148,10;148,80;148,787;100807;14998761,7;546;
2017-07-07;147,50;147,70;148,80;148,80;147,40;147,80;147,963;102465;15161042,5;721;
2017-07-06;148,30;148,60;146,80;149,40;146,80;148,80;148,383;101445;15052739,2;601;
2017-07-05;146,60;146,80;145,50;147,20;144,80;146,80;146,455;71152;10420565,8;583;
2017-07-04;145,50;145,70;145,30;146,20;145,00;145,50;145,607;70446;10257411,8;427;
2017-07-03;146,00;146,30;144,60;146,30;144,20;146,20;145,085;103978;15085656,1;523;
2017-06-30;143,90;144,10;143,10;145,40;143,10;143,90;144,23;137057;19767715;631;
2017-06-29;143,00;143,20;148,90;149,30;142,80;143,10;145,294;166987;24262121,9;724;
2017-06-28;148,10;148,30;147,20;148,70;145,40;148,70;147,339;182239;26850848,9;825;
2017-06-27;147,30;147,60;148,00;148,50;146,20;147,60;147,434;108992;16069174,5;560;
2017-06-26;148,30;148,60;150,30;151,90;148,30;148,40;149,91;125265;18778410,3;701;
2017-06-22;150,20;150,50;147,30;150,70;146,90;150,30;149,439;211179;31558380,4;1019;
2017-06-21;146,90;147,10;146,50;147,50;145,50;147,30;146,538;93617;13718419,3;556;
2017-06-20;147,00;147,20;147,60;148,90;146,90;146,90;147,904;115784;17124859,7;639;
2017-06-19;147,30;147,50;145,90;147,70;145,90;147,30;146,762;94827;13916987,2;483;
2017-06-16;145,20;145,40;143,80;146,00;143,80;145,50;145,261;155814;22633741,8;544;
2017-06-15;143,60;143,80;144,80;144,80;142,00;143,60;143,481;100526;14423562;561;
2017-06-14;144,60;144,90;148,40;149,60;144,60;144,70;146,641;180356;26447488,5;773;
2017-06-13;148,30;148,60;145,20;149,30;145,20;148,10;147,84;147452;21799252,5;784;
2017-06-12;144,70;144,90;147,10;147,10;143,90;144,70;145,399;128023;18614416,5;753;
2017-06-09;147,20;147,40;145,50;148,00;145,50;147,60;147,333;120137;17700156,9;709;
2017-06-08;146,00;146,20;147,00;147,90;145,90;146,20;146,917;179482;26369027,1;1021;
2017-06-07;147,60;147,80;144,20;147,60;144,10;147,30;146,52;168310;24660795,55;1099;
